group,index,text,agg,val
target,0,Shri Parrikar was taken on a whirlwind tour of the massive complex spread across hundreds of acres of land and was briefed on the future expansion plans including the proposed naval air station and housing complex.,mean,45.82284164428711
target,0,Shri Parrikar was taken on a whirlwind tour of the massive complex spread across hundreds of acres of land and was briefed on the future expansion plans including the proposed naval air station and housing complex.,max,66.22825622558594
target,0,Shri Parrikar was taken on a whirlwind tour of the massive complex spread across hundreds of acres of land and was briefed on the future expansion plans including the proposed naval air station and housing complex.,last,61.666622161865234
target,1,"With the passage of stringent laws like Benami Act, the department needed this technological tool to make “sense” of the data that is with them.",mean,41.904720306396484
target,1,"With the passage of stringent laws like Benami Act, the department needed this technological tool to make “sense” of the data that is with them.",max,69.45150756835938
target,1,"With the passage of stringent laws like Benami Act, the department needed this technological tool to make “sense” of the data that is with them.",last,69.40369415283203
target,2,The clearance from the Home Ministry came during the second week of June and the review is likely to be started soon whereby Robert Vadra and many other VVIPs would be likely to lose the ‘no-frisking’ at the airports privilege very soon.,mean,46.112579345703125
target,2,The clearance from the Home Ministry came during the second week of June and the review is likely to be started soon whereby Robert Vadra and many other VVIPs would be likely to lose the ‘no-frisking’ at the airports privilege very soon.,max,72.33863830566406
target,2,The clearance from the Home Ministry came during the second week of June and the review is likely to be started soon whereby Robert Vadra and many other VVIPs would be likely to lose the ‘no-frisking’ at the airports privilege very soon.,last,64.66444396972656
target,3,But till date every bag made by the brand boasts of the same signature quality.,mean,27.83673095703125
target,3,But till date every bag made by the brand boasts of the same signature quality.,max,42.56197738647461
target,3,But till date every bag made by the brand boasts of the same signature quality.,last,37.8922233581543
target,4,Congress president Sonia Gandhi had flagged off these trucks fron New Delhi on Monday.,mean,48.30499267578125
target,4,Congress president Sonia Gandhi had flagged off these trucks fron New Delhi on Monday.,max,70.80169677734375
target,4,Congress president Sonia Gandhi had flagged off these trucks fron New Delhi on Monday.,last,64.10694885253906
target,5,CRPF personnel were also present.,mean,34.87913513183594
target,5,CRPF personnel were also present.,max,56.12181091308594
target,5,CRPF personnel were also present.,last,56.12181091308594
target,6,"Kejriwal also congratulated all the people present at the function and said, ""When we won in Delhi we thought there will be a full stop on the corruption, but despite being in government for five months we have to fight to curb it.""",mean,50.43075942993164
target,6,"Kejriwal also congratulated all the people present at the function and said, ""When we won in Delhi we thought there will be a full stop on the corruption, but despite being in government for five months we have to fight to curb it.""",max,72.57620239257812
target,6,"Kejriwal also congratulated all the people present at the function and said, ""When we won in Delhi we thought there will be a full stop on the corruption, but despite being in government for five months we have to fight to curb it.""",last,52.984169006347656
target,7,Sachin GIDC police had intimated the Income tax department officials to assist and interrogate all the four people.,mean,36.415069580078125
target,7,Sachin GIDC police had intimated the Income tax department officials to assist and interrogate all the four people.,max,60.716468811035156
target,7,Sachin GIDC police had intimated the Income tax department officials to assist and interrogate all the four people.,last,53.70109558105469
target,8,"The additional capacity will also help Intel India consolidate its R&D operations to a large extent at the SRR campus, the company said in a statement.“Karnataka has always been in the forefront when it comes to the IT industry, being the centre of investment, our Invest Karnataka initiative is proving its worth with such beneficial investments in the recent years.",mean,43.00284194946289
target,8,"The additional capacity will also help Intel India consolidate its R&D operations to a large extent at the SRR campus, the company said in a statement.“Karnataka has always been in the forefront when it comes to the IT industry, being the centre of investment, our Invest Karnataka initiative is proving its worth with such beneficial investments in the recent years.",max,63.60694885253906
target,8,"The additional capacity will also help Intel India consolidate its R&D operations to a large extent at the SRR campus, the company said in a statement.“Karnataka has always been in the forefront when it comes to the IT industry, being the centre of investment, our Invest Karnataka initiative is proving its worth with such beneficial investments in the recent years.",last,56.96738815307617
target,9,"The lead actor of the film Prabhas retweeted all the congratulatory messages which poured in, including from Anuskha Shetty, who also featured in the film.",mean,31.67548942565918
target,9,"The lead actor of the film Prabhas retweeted all the congratulatory messages which poured in, including from Anuskha Shetty, who also featured in the film.",max,61.152618408203125
target,9,"The lead actor of the film Prabhas retweeted all the congratulatory messages which poured in, including from Anuskha Shetty, who also featured in the film.",last,48.06367492675781
target,10,"Besides, the AAP's membership drive is not as vibrant as the media hype surrounding it.",mean,41.07835388183594
target,10,"Besides, the AAP's membership drive is not as vibrant as the media hype surrounding it.",max,69.13435363769531
target,10,"Besides, the AAP's membership drive is not as vibrant as the media hype surrounding it.",last,67.73786926269531
target,11,"jawans of the Indian Army and BSF in Gurez valley +

Spending time with our Forces gives me new energy.",mean,36.06470489501953
target,11,"jawans of the Indian Army and BSF in Gurez valley +

Spending time with our Forces gives me new energy.",max,55.59659194946289
