group,index,text,agg,val
target,0,Check her out!,mean,32.508155822753906
target,0,Check her out!,max,60.76051330566406
target,0,Check her out!,last,41.77629470825195
target,1,She does not.,mean,45.50151062011719
target,1,She does not.,max,75.53001403808594
target,1,She does not.,last,40.898136138916016
target,2,She too died.,mean,37.23728561401367
target,2,She too died.,max,75.25596618652344
target,2,She too died.,last,29.50328826904297
target,3,She looks concerned.,mean,38.666419982910156
target,3,She looks concerned.,max,68.49826049804688
target,3,She looks concerned.,last,37.11686706542969
target,4,She is cunning.,mean,43.8987922668457
target,4,She is cunning.,max,73.26844787597656
target,4,She is cunning.,last,52.756126403808594
target,5,Now she has indicated that she will support Trump.,mean,31.801071166992188
target,5,Now she has indicated that she will support Trump.,max,69.11141967773438
target,5,Now she has indicated that she will support Trump.,last,30.948657989501953
target,6,She started screaming.,mean,41.65345001220703
target,6,She started screaming.,max,74.68150329589844
target,6,She started screaming.,last,50.24890899658203
target,7,and she could not have been more right!,mean,38.2774543762207
target,7,and she could not have been more right!,max,69.40988159179688
target,7,and she could not have been more right!,last,15.903484344482422
target,8,she asked.,mean,33.58198547363281
target,8,she asked.,max,69.90795135498047
target,8,she asked.,last,26.099323272705078
target,9,she asked.,mean,33.58198547363281
target,9,she asked.,max,69.90795135498047
target,9,she asked.,last,26.099323272705078
target,10,And she’s Dutch.,mean,34.56930923461914
target,10,And she’s Dutch.,max,72.56472778320312
target,10,And she’s Dutch.,last,41.39931106567383
target,11,She screamed.,mean,36.20777893066406
target,11,She screamed.,max,55.95740509033203
target,11,She screamed.,last,48.36820983886719
target,12,She’s a marine biologist.,mean,35.75524139404297
target,12,She’s a marine biologist.,max,74.950927734375
target,12,She’s a marine biologist.,last,48.001686096191406
target,13,She too turned around.,mean,38.03828048706055
target,13,She too turned around.,max,75.25596618652344
target,13,She too turned around.,last,35.20298767089844
target,14,“ She's everywhere and she's nowhere.,mean,32.80912399291992
target,14,“ She's everywhere and she's nowhere.,max,70.30376434326172
target,14,“ She's everywhere and she's nowhere.,last,28.943744659423828
target,15,She’s a fantastic teacher.,mean,38.11089324951172
target,15,She’s a fantastic teacher.,max,74.950927734375
target,15,She’s a fantastic teacher.,last,30.08401870727539
target,16,She was a teenage girl.,mean,43.77779769897461
target,16,She was a teenage girl.,max,74.376708984375
target,16,She was a teenage girl.,last,43.41835403442383
target,17,She was not hurt.,mean,41.88519287109375
target,17,She was not hurt.,max,74.376708984375
target,17,She was not hurt.,last,36.66742706298828
target,18,She refused.,mean,38.85354232788086
target,18,She refused.,max,72.09769439697266
target,18,She refused.,last,42.81096649169922
target,19,She could certainly have been a woman just like me.,mean,41.31307601928711
target,19,She could certainly have been a woman just like me.,max,80.48283386230469
target,19,She could certainly have been a woman just like me.,last,37.82847595214844
target,20,She shook her head.,mean,41.74683380126953
target,20,She shook her head.,max,72.43751525878906
target,20,She shook her head.,last,45.86738967895508
target,21,"She cried, smiling.",mean,35.51105880737305
target,21,"She cried, smiling.",max,60.64997863769531
target,21,"She cried, smiling.",last,41.32727813720703
target,22,She was done.,mean,41.716854095458984
target,22,She was done.,max,74.376708984375
target,22,She was done.,last,50.65444564819336
target,23,Anna continued.,mean,31.849897384643555
target,23,Anna continued.,max,50.63524627685547
target,23,Anna continued.,last,35.21139144897461
target,24,Her fav.,mean,32.250892639160156
target,24,Her fav.,max,57.17405700683594
target,24,Her fav.,last,34.24413299560547
target,25,"But unfortunately she is in terrible fear.""",mean,26.855186462402344
target,25,"But unfortunately she is in terrible fear.""",max,73.91365051269531
target,25,"But unfortunately she is in terrible fear.""",last,23.717411041259766
