group,index,text,agg,val
target,0,Shri Parrikar was taken on a whirlwind tour of the massive complex spread across hundreds of acres of land and was briefed on the future expansion plans including the proposed naval air station and housing complex.,mean,20.580690383911133
target,0,Shri Parrikar was taken on a whirlwind tour of the massive complex spread across hundreds of acres of land and was briefed on the future expansion plans including the proposed naval air station and housing complex.,max,35.2800178527832
target,0,Shri Parrikar was taken on a whirlwind tour of the massive complex spread across hundreds of acres of land and was briefed on the future expansion plans including the proposed naval air station and housing complex.,last,21.871685028076172
target,1,"With the passage of stringent laws like Benami Act, the department needed this technological tool to make “sense” of the data that is with them.",mean,21.489042282104492
target,1,"With the passage of stringent laws like Benami Act, the department needed this technological tool to make “sense” of the data that is with them.",max,36.91229248046875
target,1,"With the passage of stringent laws like Benami Act, the department needed this technological tool to make “sense” of the data that is with them.",last,30.026018142700195
target,2,The clearance from the Home Ministry came during the second week of June and the review is likely to be started soon whereby Robert Vadra and many other VVIPs would be likely to lose the ‘no-frisking’ at the airports privilege very soon.,mean,19.881437301635742
target,2,The clearance from the Home Ministry came during the second week of June and the review is likely to be started soon whereby Robert Vadra and many other VVIPs would be likely to lose the ‘no-frisking’ at the airports privilege very soon.,max,32.37136459350586
target,2,The clearance from the Home Ministry came during the second week of June and the review is likely to be started soon whereby Robert Vadra and many other VVIPs would be likely to lose the ‘no-frisking’ at the airports privilege very soon.,last,18.943683624267578
target,3,But till date every bag made by the brand boasts of the same signature quality.,mean,20.006549835205078
target,3,But till date every bag made by the brand boasts of the same signature quality.,max,38.365081787109375
target,3,But till date every bag made by the brand boasts of the same signature quality.,last,27.3532657623291
target,4,Congress president Sonia Gandhi had flagged off these trucks fron New Delhi on Monday.,mean,19.617103576660156
target,4,Congress president Sonia Gandhi had flagged off these trucks fron New Delhi on Monday.,max,31.17877769470215
target,4,Congress president Sonia Gandhi had flagged off these trucks fron New Delhi on Monday.,last,21.9335994720459
target,5,CRPF personnel were also present.,mean,17.31503677368164
target,5,CRPF personnel were also present.,max,28.581939697265625
target,5,CRPF personnel were also present.,last,21.291555404663086
target,6,"Kejriwal also congratulated all the people present at the function and said, ""When we won in Delhi we thought there will be a full stop on the corruption, but despite being in government for five months we have to fight to curb it.""",mean,19.39068603515625
target,6,"Kejriwal also congratulated all the people present at the function and said, ""When we won in Delhi we thought there will be a full stop on the corruption, but despite being in government for five months we have to fight to curb it.""",max,29.12433433532715
