group,index,text,agg,val
target,0,Shri Parrikar was taken on a whirlwind tour of the massive complex spread across hundreds of acres of land and was briefed on the future expansion plans including the proposed naval air station and housing complex.,mean,35.61065673828125
target,0,Shri Parrikar was taken on a whirlwind tour of the massive complex spread across hundreds of acres of land and was briefed on the future expansion plans including the proposed naval air station and housing complex.,max,51.33405303955078
target,0,Shri Parrikar was taken on a whirlwind tour of the massive complex spread across hundreds of acres of land and was briefed on the future expansion plans including the proposed naval air station and housing complex.,last,49.77749252319336
target,1,"With the passage of stringent laws like Benami Act, the department needed this technological tool to make “sense” of the data that is with them.",mean,33.75918960571289
target,1,"With the passage of stringent laws like Benami Act, the department needed this technological tool to make “sense” of the data that is with them.",max,57.26104736328125
target,1,"With the passage of stringent laws like Benami Act, the department needed this technological tool to make “sense” of the data that is with them.",last,57.26104736328125
target,2,The clearance from the Home Ministry came during the second week of June and the review is likely to be started soon whereby Robert Vadra and many other VVIPs would be likely to lose the ‘no-frisking’ at the airports privilege very soon.,mean,37.83086395263672
target,2,The clearance from the Home Ministry came during the second week of June and the review is likely to be started soon whereby Robert Vadra and many other VVIPs would be likely to lose the ‘no-frisking’ at the airports privilege very soon.,max,58.060813903808594
target,2,The clearance from the Home Ministry came during the second week of June and the review is likely to be started soon whereby Robert Vadra and many other VVIPs would be likely to lose the ‘no-frisking’ at the airports privilege very soon.,last,52.2895622253418
target,3,But till date every bag made by the brand boasts of the same signature quality.,mean,23.465484619140625
target,3,But till date every bag made by the brand boasts of the same signature quality.,max,35.056724548339844
target,3,But till date every bag made by the brand boasts of the same signature quality.,last,33.36285400390625
target,4,Congress president Sonia Gandhi had flagged off these trucks fron New Delhi on Monday.,mean,38.08342742919922
target,4,Congress president Sonia Gandhi had flagged off these trucks fron New Delhi on Monday.,max,54.14714050292969
target,4,Congress president Sonia Gandhi had flagged off these trucks fron New Delhi on Monday.,last,52.28488540649414
target,5,CRPF personnel were also present.,mean,29.402542114257812
target,5,CRPF personnel were also present.,max,46.82048797607422
target,5,CRPF personnel were also present.,last,46.82048797607422
target,6,"Kejriwal also congratulated all the people present at the function and said, ""When we won in Delhi we thought there will be a full stop on the corruption, but despite being in government for five months we have to fight to curb it.""",mean,40.32306671142578
target,6,"Kejriwal also congratulated all the people present at the function and said, ""When we won in Delhi we thought there will be a full stop on the corruption, but despite being in government for five months we have to fight to curb it.""",max,55.82931900024414
target,6,"Kejriwal also congratulated all the people present at the function and said, ""When we won in Delhi we thought there will be a full stop on the corruption, but despite being in government for five months we have to fight to curb it.""",last,43.245521545410156
target,7,Sachin GIDC police had intimated the Income tax department officials to assist and interrogate all the four people.,mean,29.978113174438477
target,7,Sachin GIDC police had intimated the Income tax department officials to assist and interrogate all the four people.,max,49.200218200683594
target,7,Sachin GIDC police had intimated the Income tax department officials to assist and interrogate all the four people.,last,44.925010681152344
target,8,"The additional capacity will also help Intel India consolidate its R&D operations to a large extent at the SRR campus, the company said in a statement.“Karnataka has always been in the forefront when it comes to the IT industry, being the centre of investment, our Invest Karnataka initiative is proving its worth with such beneficial investments in the recent years.",mean,33.24213409423828
target,8,"The additional capacity will also help Intel India consolidate its R&D operations to a large extent at the SRR campus, the company said in a statement.“Karnataka has always been in the forefront when it comes to the IT industry, being the centre of investment, our Invest Karnataka initiative is proving its worth with such beneficial investments in the recent years.",max,49.40885925292969
target,8,"The additional capacity will also help Intel India consolidate its R&D operations to a large extent at the SRR campus, the company said in a statement.“Karnataka has always been in the forefront when it comes to the IT industry, being the centre of investment, our Invest Karnataka initiative is proving its worth with such beneficial investments in the recent years.",last,45.110870361328125
target,9,"The lead actor of the film Prabhas retweeted all the congratulatory messages which poured in, including from Anuskha Shetty, who also featured in the film.",mean,26.09224510192871
target,9,"The lead actor of the film Prabhas retweeted all the congratulatory messages which poured in, including from Anuskha Shetty, who also featured in the film.",max,49.179466247558594
target,9,"The lead actor of the film Prabhas retweeted all the congratulatory messages which poured in, including from Anuskha Shetty, who also featured in the film.",last,41.045013427734375
target,10,"Besides, the AAP's membership drive is not as vibrant as the media hype surrounding it.",mean,32.682552337646484
target,10,"Besides, the AAP's membership drive is not as vibrant as the media hype surrounding it.",max,56.22685241699219
target,10,"Besides, the AAP's membership drive is not as vibrant as the media hype surrounding it.",last,55.62779998779297
target,11,"jawans of the Indian Army and BSF in Gurez valley +

Spending time with our Forces gives me new energy.",mean,27.554563522338867
target,11,"jawans of the Indian Army and BSF in Gurez valley +

Spending time with our Forces gives me new energy.",max,44.034820556640625
target,11,"jawans of the Indian Army and BSF in Gurez valley +

Spending time with our Forces gives me new energy.",last,44.034820556640625
target,12,"According to Harish -an organiser- more than 50,000 people will join the protest, with 7000-odd people expected to join from Vijayawada alone.",mean,31.543519973754883
