group,index,text,agg,val
target,0,It takes you 30 min.,mean,28.938400268554688
target,0,It takes you 30 min.,max,60.41825866699219
target,0,It takes you 30 min.,last,43.05377960205078
target,1,"When you are there, you have a lot more chances to score.",mean,25.403135299682617
target,1,"When you are there, you have a lot more chances to score.",max,52.814659118652344
target,1,"When you are there, you have a lot more chances to score.",last,15.61502742767334
target,2,You’ll be in a better position to make informed decisions.,mean,30.827777862548828
target,2,You’ll be in a better position to make informed decisions.,max,44.55995178222656
target,2,You’ll be in a better position to make informed decisions.,last,30.16690444946289
target,3,You only impinge on your eligibility when you represent Australia.,mean,26.53343391418457
target,3,You only impinge on your eligibility when you represent Australia.,max,48.925048828125
target,3,You only impinge on your eligibility when you represent Australia.,last,22.785675048828125
target,4,You can form your own view.,mean,22.881534576416016
target,4,You can form your own view.,max,38.1533203125
target,4,You can form your own view.,last,0.0
target,5,You only have aso you must be quick and precise.,mean,25.472347259521484
target,5,You only have aso you must be quick and precise.,max,48.925048828125
target,5,You only have aso you must be quick and precise.,last,24.60199546813965
target,6,You need to make the most of it.,mean,26.941125869750977
target,6,You need to make the most of it.,max,49.807682037353516
target,6,You need to make the most of it.,last,29.494060516357422
target,7,The conclusion is that you’re not very secure at all.,mean,23.370437622070312
target,7,The conclusion is that you’re not very secure at all.,max,57.32707214355469
target,7,The conclusion is that you’re not very secure at all.,last,26.63438606262207
target,8,This way you’ll also get to personalize it.,mean,19.190324783325195
target,8,This way you’ll also get to personalize it.,max,48.61113739013672
target,8,This way you’ll also get to personalize it.,last,11.508673667907715
target,9,You are living without it: you are on vacation.,mean,22.845623016357422
target,9,You are living without it: you are on vacation.,max,41.444000244140625
target,9,You are living without it: you are on vacation.,last,19.41465950012207
target,10,"You’re also going to have to remember to eat, because you probably won’t get as hungry as normal.",mean,23.369157791137695
target,10,"You’re also going to have to remember to eat, because you probably won’t get as hungry as normal.",max,54.629241943359375
target,10,"You’re also going to have to remember to eat, because you probably won’t get as hungry as normal.",last,18.346437454223633
target,11,You get to choose how he changes.,mean,19.436582565307617
target,11,You get to choose how he changes.,max,46.20338439941406
target,11,You get to choose how he changes.,last,0.0
target,12,"However, you can’t communicate if you can’t express yourself!",mean,20.262840270996094
target,12,"However, you can’t communicate if you can’t express yourself!",max,51.18495559692383
target,12,"However, you can’t communicate if you can’t express yourself!",last,0.0
target,13,What you really want to do is *drive* the car.,mean,21.679309844970703
target,13,What you really want to do is *drive* the car.,max,52.43635940551758
target,13,What you really want to do is *drive* the car.,last,17.391281127929688
target,14,"Even before you save yourself, you should save others.",mean,18.578033447265625
target,14,"Even before you save yourself, you should save others.",max,64.42488861083984
target,14,"Even before you save yourself, you should save others.",last,0.0
target,15,"You can't even be sick, or take vacation.""",mean,20.4837703704834
target,15,"You can't even be sick, or take vacation.""",max,35.72183609008789
target,15,"You can't even be sick, or take vacation.""",last,0.0
target,16,Because you have your copy of his actions that you can uses against him.,mean,16.017744064331055
target,16,Because you have your copy of his actions that you can uses against him.,max,43.138587951660156
target,16,Because you have your copy of his actions that you can uses against him.,last,26.253175735473633
target,17,"If you do criticize him, you’re out.",mean,18.07952117919922
target,17,"If you do criticize him, you’re out.",max,33.971317291259766
