group,index,text,agg,val
target,0,"Rangers manager Mark Warburton, who has spoken of the importance of finding value for money in his transfer dealings, has targeted two more players before the deadline at the end of August.",mean,24.51008415222168
target,0,"Rangers manager Mark Warburton, who has spoken of the importance of finding value for money in his transfer dealings, has targeted two more players before the deadline at the end of August.",max,41.38296127319336
target,0,"Rangers manager Mark Warburton, who has spoken of the importance of finding value for money in his transfer dealings, has targeted two more players before the deadline at the end of August.",last,29.06970977783203
target,1,"At Fulham on Saturday, the 25 year-old will have to wait until an hour before kick-off until learning who will protect his goal against Martin Jol’s team.",mean,22.585481643676758
target,1,"At Fulham on Saturday, the 25 year-old will have to wait until an hour before kick-off until learning who will protect his goal against Martin Jol’s team.",max,37.73346710205078
target,1,"At Fulham on Saturday, the 25 year-old will have to wait until an hour before kick-off until learning who will protect his goal against Martin Jol’s team.",last,32.14240264892578
target,2,"West Brom, Newcastle and Bournemouth have been linked with the Scotland international this month.",mean,23.066255569458008
target,2,"West Brom, Newcastle and Bournemouth have been linked with the Scotland international this month.",max,37.4450569152832
target,2,"West Brom, Newcastle and Bournemouth have been linked with the Scotland international this month.",last,32.379119873046875
target,3,"Jermaine Beckford and Daniel Johnson netted in the 2-1 win at the Madejski Stadium, Johnson’s winner arriving a few seconds into stoppage-time.",mean,22.724966049194336
target,3,"Jermaine Beckford and Daniel Johnson netted in the 2-1 win at the Madejski Stadium, Johnson’s winner arriving a few seconds into stoppage-time.",max,44.99378204345703
target,3,"Jermaine Beckford and Daniel Johnson netted in the 2-1 win at the Madejski Stadium, Johnson’s winner arriving a few seconds into stoppage-time.",last,37.04355239868164
target,4,Newcastle still want another forward and a winger after signing Ciaran Clark and Mohamed Diame this week.,mean,22.6671142578125
target,4,Newcastle still want another forward and a winger after signing Ciaran Clark and Mohamed Diame this week.,max,32.06456756591797
target,4,Newcastle still want another forward and a winger after signing Ciaran Clark and Mohamed Diame this week.,last,31.077550888061523
target,5,"Wenger had wanted to take Wilshere off, due to the England midfielder's history of ankle problems, but the player was determined to play on.

'",mean,20.602975845336914
target,5,"Wenger had wanted to take Wilshere off, due to the England midfielder's history of ankle problems, but the player was determined to play on.

'",max,44.58576965332031
