group,index,text,agg,val
target,0,"Beaufort favored an alliance with Burgundy, and Fitzalan was one of the leaders of those sent to help fight the rival Armagnac faction in France.",mean,20.02579689025879
target,0,"Beaufort favored an alliance with Burgundy, and Fitzalan was one of the leaders of those sent to help fight the rival Armagnac faction in France.",max,33.93148422241211
target,0,"Beaufort favored an alliance with Burgundy, and Fitzalan was one of the leaders of those sent to help fight the rival Armagnac faction in France.",last,15.614559173583984
target,1,"McKinley also negotiated bilateral reciprocity treaties with France, Argentina, and other countries in an attempt to expand foreign trade while still keeping overall tariff rates high.",mean,23.464820861816406
target,1,"McKinley also negotiated bilateral reciprocity treaties with France, Argentina, and other countries in an attempt to expand foreign trade while still keeping overall tariff rates high.",max,39.904109954833984
target,1,"McKinley also negotiated bilateral reciprocity treaties with France, Argentina, and other countries in an attempt to expand foreign trade while still keeping overall tariff rates high.",last,19.077577590942383
target,2,"[45] Although Elizabeth was welcomed as queen in England, the country was still in a state of anxiety over the perceived Catholic threat at home and overseas, as well as the choice of whom she would marry.",mean,23.479150772094727
target,2,"[45] Although Elizabeth was welcomed as queen in England, the country was still in a state of anxiety over the perceived Catholic threat at home and overseas, as well as the choice of whom she would marry.",max,41.73059844970703
target,2,"[45] Although Elizabeth was welcomed as queen in England, the country was still in a state of anxiety over the perceived Catholic threat at home and overseas, as well as the choice of whom she would marry.",last,0.0
target,3,"With the election of Federalist John Adams as president in 1797, French treatment of the United States grew still more hostile.",mean,16.80664825439453
target,3,"With the election of Federalist John Adams as president in 1797, French treatment of the United States grew still more hostile.",max,32.8676872253418
target,3,"With the election of Federalist John Adams as president in 1797, French treatment of the United States grew still more hostile.",last,27.698965072631836
target,4,"The emperor had assembled a commission consisting of virtually every important legal scholar and jurist in the empire to produce a “single Code which shall bear our own name” and handpicked a senior minister, Tribonian, to manage them.",mean,17.29177474975586
target,4,"The emperor had assembled a commission consisting of virtually every important legal scholar and jurist in the empire to produce a “single Code which shall bear our own name” and handpicked a senior minister, Tribonian, to manage them.",max,33.17864227294922
target,4,"The emperor had assembled a commission consisting of virtually every important legal scholar and jurist in the empire to produce a “single Code which shall bear our own name” and handpicked a senior minister, Tribonian, to manage them.",last,14.971843719482422
target,5,"After signing the Entente Cordiale with Britain, France had sought to assert its dominance over Morocco, and a crisis had begun after Germany protested this move.",mean,18.28235626220703
target,5,"After signing the Entente Cordiale with Britain, France had sought to assert its dominance over Morocco, and a crisis had begun after Germany protested this move.",max,32.60304260253906
target,5,"After signing the Entente Cordiale with Britain, France had sought to assert its dominance over Morocco, and a crisis had begun after Germany protested this move.",last,23.130260467529297
target,6,In 1875 Isma'il avoided bankruptcy by selling all Egypt's shares in the canal to the British government.,mean,17.049619674682617
target,6,In 1875 Isma'il avoided bankruptcy by selling all Egypt's shares in the canal to the British government.,max,34.220848083496094
target,6,In 1875 Isma'il avoided bankruptcy by selling all Egypt's shares in the canal to the British government.,last,19.595062255859375
target,7,"Ames, along with his father-in-law Benjamin Butler, also a former Union general and Radical Republican politician, was rumored to have deposited $75,000 in the bank.",mean,14.762368202209473
target,7,"Ames, along with his father-in-law Benjamin Butler, also a former Union general and Radical Republican politician, was rumored to have deposited $75,000 in the bank.",max,30.279094696044922
target,7,"Ames, along with his father-in-law Benjamin Butler, also a former Union general and Radical Republican politician, was rumored to have deposited $75,000 in the bank.",last,21.346817016601562
target,8,"A meeting that included Conant decided Groves should be answerable to a small committee called the Military Policy Committee, chaired by Bush, with Conant as his alternate.",mean,14.305314064025879
target,8,"A meeting that included Conant decided Groves should be answerable to a small committee called the Military Policy Committee, chaired by Bush, with Conant as his alternate.",max,31.011611938476562
target,8,"A meeting that included Conant decided Groves should be answerable to a small committee called the Military Policy Committee, chaired by Bush, with Conant as his alternate.",last,23.35000991821289
target,9,"At the same time, Beaumarchais was also involved in a dispute with the Duke de Chaulnes over the Duke's mistress, which resulted in Beaumarchais being thrown into jail from February to May 1773.",mean,17.880523681640625
target,9,"At the same time, Beaumarchais was also involved in a dispute with the Duke de Chaulnes over the Duke's mistress, which resulted in Beaumarchais being thrown into jail from February to May 1773.",max,50.51155090332031
target,9,"At the same time, Beaumarchais was also involved in a dispute with the Duke de Chaulnes over the Duke's mistress, which resulted in Beaumarchais being thrown into jail from February to May 1773.",last,17.7347412109375
target,10,"After the war, Washington supported various governmental arrangements that were intended to concentrate power in the hands of the elite.",mean,14.94248104095459
target,10,"After the war, Washington supported various governmental arrangements that were intended to concentrate power in the hands of the elite.",max,26.37575340270996
target,10,"After the war, Washington supported various governmental arrangements that were intended to concentrate power in the hands of the elite.",last,0.0
target,11,"[40][41] Tesla was not pleased with what he saw as attacks on his patriotism via the rumors about Wardenclyffe, but since the original mortgages with Boldt as well as the foreclosure had been kept off the public record in order to hide his financial difficulties, Tesla was not able to reveal the real reason for the demolition.",mean,18.03251075744629
target,11,"[40][41] Tesla was not pleased with what he saw as attacks on his patriotism via the rumors about Wardenclyffe, but since the original mortgages with Boldt as well as the foreclosure had been kept off the public record in order to hide his financial difficulties, Tesla was not able to reveal the real reason for the demolition.",max,38.24364471435547
target,11,"[40][41] Tesla was not pleased with what he saw as attacks on his patriotism via the rumors about Wardenclyffe, but since the original mortgages with Boldt as well as the foreclosure had been kept off the public record in order to hide his financial difficulties, Tesla was not able to reveal the real reason for the demolition.",last,0.0
target,12,"Cixi decided that the time was ripe for a bureaucratic overhaul, and she personally sought audience with all officials above the level of provincial governor, who had to report to her personally.",mean,13.189453125
target,12,"Cixi decided that the time was ripe for a bureaucratic overhaul, and she personally sought audience with all officials above the level of provincial governor, who had to report to her personally.",max,29.61969757080078
target,12,"Cixi decided that the time was ripe for a bureaucratic overhaul, and she personally sought audience with all officials above the level of provincial governor, who had to report to her personally.",last,18.760047912597656
target,13,"Confederate states focused on state's rights, but it was clear from the beginning that the key right the southern states sought to maintain was the right to maintain the institution of slavery.",mean,11.640446662902832
target,13,"Confederate states focused on state's rights, but it was clear from the beginning that the key right the southern states sought to maintain was the right to maintain the institution of slavery.",max,26.60321807861328
target,13,"Confederate states focused on state's rights, but it was clear from the beginning that the key right the southern states sought to maintain was the right to maintain the institution of slavery.",last,0.0
target,14,"Following World War I, the military was anxious to demobilize its forces rapidly as it had done after every war in the past.",mean,17.292003631591797
target,14,"Following World War I, the military was anxious to demobilize its forces rapidly as it had done after every war in the past.",max,31.526216506958008
target,14,"Following World War I, the military was anxious to demobilize its forces rapidly as it had done after every war in the past.",last,27.711122512817383
target,15,The powder mills in the colonies began to run out of saltpeter in 1777 and production fell abruptly.,mean,14.442161560058594
target,15,The powder mills in the colonies began to run out of saltpeter in 1777 and production fell abruptly.,max,36.024871826171875
target,15,The powder mills in the colonies began to run out of saltpeter in 1777 and production fell abruptly.,last,21.594833374023438
target,16,Christian August let his subjects choose their own brand of Christianity – a rarity in his day and age - and even allowed Jews to settle on his lands beginning in 1666.,mean,14.88475513458252
target,16,Christian August let his subjects choose their own brand of Christianity – a rarity in his day and age - and even allowed Jews to settle on his lands beginning in 1666.,max,27.247272491455078
target,16,Christian August let his subjects choose their own brand of Christianity – a rarity in his day and age - and even allowed Jews to settle on his lands beginning in 1666.,last,0.0
target,17,"1486 was passed under the War Measures Act allowing for the forced removal of any and all Canadians of Japanese descent from British Columbia, as well as the prohibiting them from returning to the province.",mean,15.14840030670166
target,17,"1486 was passed under the War Measures Act allowing for the forced removal of any and all Canadians of Japanese descent from British Columbia, as well as the prohibiting them from returning to the province.",max,34.10264587402344
target,17,"1486 was passed under the War Measures Act allowing for the forced removal of any and all Canadians of Japanese descent from British Columbia, as well as the prohibiting them from returning to the province.",last,0.0
target,18,Roosevelt and Hay feared that even an allegedly temporary occupation could lead to a permanent German military presence in the Western Hemisphere.,mean,13.815916061401367
target,18,Roosevelt and Hay feared that even an allegedly temporary occupation could lead to a permanent German military presence in the Western Hemisphere.,max,35.66300964355469
target,18,Roosevelt and Hay feared that even an allegedly temporary occupation could lead to a permanent German military presence in the Western Hemisphere.,last,32.84070587158203
