group,index,text,agg,val
target,0,And the real picture is worse.,mean,14.661230087280273
target,0,And the real picture is worse.,max,35.35088348388672
target,0,And the real picture is worse.,last,0.0
target,1,And it is the law.,mean,15.00088882446289
target,1,And it is the law.,max,37.05690383911133
target,1,And it is the law.,last,0.0
target,2,And I'm not exactly sure who I'll end up with.,mean,19.760971069335938
target,2,And I'm not exactly sure who I'll end up with.,max,45.15723419189453
target,2,And I'm not exactly sure who I'll end up with.,last,0.0
target,3,"And in a democracy, they should get it!",mean,20.67909049987793
target,3,"And in a democracy, they should get it!",max,41.17408752441406
target,3,"And in a democracy, they should get it!",last,0.0
target,4,And it’s not going away.,mean,16.85041618347168
target,4,And it’s not going away.,max,36.89671325683594
target,4,And it’s not going away.,last,0.0
target,5,And it can’t come soon enough.,mean,17.128643035888672
target,5,And it can’t come soon enough.,max,35.19329833984375
target,5,And it can’t come soon enough.,last,0.0
target,6,And they've been proved right.,mean,14.557668685913086
target,6,And they've been proved right.,max,34.351715087890625
target,6,And they've been proved right.,last,0.0
target,7,And no one’s been able to figure out why.,mean,23.22765350341797
target,7,And no one’s been able to figure out why.,max,36.76923370361328
target,7,And no one’s been able to figure out why.,last,0.0
target,8,And we both learned from this experience.,mean,16.605850219726562
target,8,And we both learned from this experience.,max,31.084550857543945
target,8,And we both learned from this experience.,last,0.0
target,9,"And we have to watch him.""",mean,18.11998748779297
target,9,"And we have to watch him.""",max,41.00114440917969
target,9,"And we have to watch him.""",last,0.0
target,10,And I'd believe him.,mean,14.552133560180664
target,10,And I'd believe him.,max,30.056852340698242
target,10,And I'd believe him.,last,0.0
target,11,And we had to let go.,mean,20.315025329589844
target,11,And we had to let go.,max,37.42263412475586
target,11,And we had to let go.,last,15.765121459960938
target,12,And it’s still not enough.,mean,16.020633697509766
target,12,And it’s still not enough.,max,33.59110641479492
target,12,And it’s still not enough.,last,0.0
target,13,And he does it through his network.,mean,9.774592399597168
target,13,And he does it through his network.,max,30.853120803833008
target,13,And he does it through his network.,last,0.0
target,14,And it’s great to recycle!,mean,16.654327392578125
target,14,And it’s great to recycle!,max,44.56820297241211
target,14,And it’s great to recycle!,last,0.0
target,15,And there will be stumbles.,mean,13.037917137145996
target,15,And there will be stumbles.,max,30.9818115234375
target,15,And there will be stumbles.,last,17.007579803466797
target,16,And it just can't afford to miss this market.,mean,15.518943786621094
target,16,And it just can't afford to miss this market.,max,35.80495071411133
target,16,And it just can't afford to miss this market.,last,0.0
target,17,And everything is about free.,mean,17.294849395751953
target,17,And everything is about free.,max,44.71720886230469
target,17,And everything is about free.,last,16.74808692932129
target,18,And the working classes have paid the price.,mean,13.569785118103027
target,18,And the working classes have paid the price.,max,33.33191680908203
target,18,And the working classes have paid the price.,last,0.0
target,19,"And it's not a comedy.""",mean,15.50063705444336
target,19,"And it's not a comedy.""",max,36.20745086669922
target,19,"And it's not a comedy.""",last,0.0
target,20,And I fear it will be with us for the rest of our lives.,mean,16.9084415435791
target,20,And I fear it will be with us for the rest of our lives.,max,42.24644470214844
target,20,And I fear it will be with us for the rest of our lives.,last,0.0
target,21,And I’ll elaborate on that.,mean,12.486001968383789
target,21,And I’ll elaborate on that.,max,29.736520767211914
target,21,And I’ll elaborate on that.,last,0.0
target,22,"And you're hearing it from me.""",mean,16.41813087463379
target,22,"And you're hearing it from me.""",max,35.61065673828125
target,22,"And you're hearing it from me.""",last,0.0
target,23,And I felt some pride in that.,mean,15.301008224487305
target,23,And I felt some pride in that.,max,31.194311141967773
target,23,And I felt some pride in that.,last,0.0
target,24,And we have a lot of office dogs!,mean,14.706244468688965
target,24,And we have a lot of office dogs!,max,35.64635467529297
target,24,And we have a lot of office dogs!,last,0.0
target,25,And they are certainly not exactly equal.,mean,11.690468788146973
target,25,And they are certainly not exactly equal.,max,25.312637329101562
target,25,And they are certainly not exactly equal.,last,0.0
target,26,And his film career is booming.,mean,13.73828125
target,26,And his film career is booming.,max,26.663049697875977
target,26,And his film career is booming.,last,0.0
target,27,And you want to be the one doing the influencing.,mean,14.844340324401855
target,27,And you want to be the one doing the influencing.,max,28.467594146728516
target,27,And you want to be the one doing the influencing.,last,0.0
target,28,And they want their self-esteem back.,mean,12.488481521606445
target,28,And they want their self-esteem back.,max,31.205965042114258
target,28,And they want their self-esteem back.,last,0.0
target,29,And that’s very important to me.,mean,17.581865310668945
target,29,And that’s very important to me.,max,38.21080780029297
target,29,And that’s very important to me.,last,0.0
target,30,"And he did way too many amazing things.""",mean,11.516522407531738
target,30,"And he did way too many amazing things.""",max,26.166349411010742
target,30,"And he did way too many amazing things.""",last,0.0
target,31,"And we're not ever going to find that out, it seems.",mean,17.162494659423828
target,31,"And we're not ever going to find that out, it seems.",max,39.27602005004883
target,31,"And we're not ever going to find that out, it seems.",last,0.0
target,32,And it has two big sound stages.,mean,11.587275505065918
target,32,And it has two big sound stages.,max,36.5369987487793
target,32,And it has two big sound stages.,last,0.0
target,33,And the punches just keep comin'.,mean,5.771345615386963
target,33,And the punches just keep comin'.,max,18.389095306396484
target,33,And the punches just keep comin'.,last,0.0
target,34,And I think different people have made really interesting decisions about this.,mean,13.207658767700195
target,34,And I think different people have made really interesting decisions about this.,max,33.63780212402344
target,34,And I think different people have made really interesting decisions about this.,last,0.0
target,35,“And the truth is I’m starting to think maybe they are right.,mean,15.008045196533203
target,35,“And the truth is I’m starting to think maybe they are right.,max,33.20543670654297
target,35,“And the truth is I’m starting to think maybe they are right.,last,0.0
target,36,"And on this issue, it’s just difficult to get them to care.",mean,14.456605911254883
target,36,"And on this issue, it’s just difficult to get them to care.",max,37.61466979980469
target,36,"And on this issue, it’s just difficult to get them to care.",last,0.0
target,37,And the water is still gushing.,mean,8.156084060668945
target,37,And the water is still gushing.,max,24.444503784179688
target,37,And the water is still gushing.,last,0.0
target,38,“And it’s extremely expensive to do.,mean,18.011125564575195
target,38,“And it’s extremely expensive to do.,max,40.48518371582031
target,38,“And it’s extremely expensive to do.,last,11.922588348388672
target,39,And the cost of such intermediary is humongous.,mean,11.19449234008789
target,39,And the cost of such intermediary is humongous.,max,33.652130126953125
target,39,And the cost of such intermediary is humongous.,last,0.0
target,40,And there’s no way this car will ever be street legal.,mean,20.998981475830078
target,40,And there’s no way this car will ever be street legal.,max,44.254180908203125
target,40,And there’s no way this car will ever be street legal.,last,18.827924728393555
target,41,"""And they are not issuing them at this time.""",mean,17.019031524658203
target,41,"""And they are not issuing them at this time.""",max,36.80430221557617
target,41,"""And they are not issuing them at this time.""",last,0.0
target,42,"And you really have a large market share, particularly in Europe.",mean,14.993090629577637
target,42,"And you really have a large market share, particularly in Europe.",max,42.10891342163086
target,42,"And you really have a large market share, particularly in Europe.",last,0.0
target,43,"And the Obama administration is utterly, profoundly unprepared.",mean,10.804779052734375
target,43,"And the Obama administration is utterly, profoundly unprepared.",max,35.19062423706055
target,43,"And the Obama administration is utterly, profoundly unprepared.",last,0.0
target,44,"And I had blocked a lot of it out.""",mean,16.301990509033203
target,44,"And I had blocked a lot of it out.""",max,33.320045471191406
target,44,"And I had blocked a lot of it out.""",last,0.0
target,45,"And man, it was mesmerizing.",mean,12.924222946166992
target,45,"And man, it was mesmerizing.",max,28.591697692871094
target,45,"And man, it was mesmerizing.",last,0.0
target,46,And the thinking seems to be not even Gates can do both.,mean,14.839872360229492
target,46,And the thinking seems to be not even Gates can do both.,max,47.957054138183594
target,46,And the thinking seems to be not even Gates can do both.,last,0.0
target,47,And you picked up human interaction first.,mean,12.41641616821289
target,47,And you picked up human interaction first.,max,28.433530807495117
target,47,And you picked up human interaction first.,last,0.0
target,48,And this process may be starting sooner than anyone predicted.,mean,14.193449020385742
target,48,And this process may be starting sooner than anyone predicted.,max,34.19451904296875
target,48,And this process may be starting sooner than anyone predicted.,last,0.0
target,49,"And I take it one day at a time here.""",mean,14.025909423828125
target,49,"And I take it one day at a time here.""",max,27.390092849731445
target,49,"And I take it one day at a time here.""",last,0.0
target,50,And he catches any potential supporters flat-footed.,mean,9.432137489318848
target,50,And he catches any potential supporters flat-footed.,max,30.1181583404541
target,50,And he catches any potential supporters flat-footed.,last,0.0
target,51,And the trailer sets him up to look shifty.,mean,6.259622573852539
target,51,And the trailer sets him up to look shifty.,max,26.876161575317383
target,51,And the trailer sets him up to look shifty.,last,0.0
target,52,And it was tax cuts that were responsible for the biggest share of the new deficits.,mean,11.573235511779785
target,52,And it was tax cuts that were responsible for the biggest share of the new deficits.,max,42.81662368774414
target,52,And it was tax cuts that were responsible for the biggest share of the new deficits.,last,0.0
target,53,And only the IRS and CST have copies of it.,mean,14.527880668640137
target,53,And only the IRS and CST have copies of it.,max,37.172325134277344
target,53,And only the IRS and CST have copies of it.,last,14.391328811645508
target,54,"""And at the time, I agreed to it,"" she says.",mean,10.357014656066895
target,54,"""And at the time, I agreed to it,"" she says.",max,24.50056266784668
target,54,"""And at the time, I agreed to it,"" she says.",last,0.0
target,55,And it’s quite possible that every one of the problems I’ve raised will turn out to be unimportant.,mean,14.683695793151855
target,55,And it’s quite possible that every one of the problems I’ve raised will turn out to be unimportant.,max,38.153621673583984
target,55,And it’s quite possible that every one of the problems I’ve raised will turn out to be unimportant.,last,0.0
target,56,And I was positioned in a very sacred area of Westminster Cathedral.,mean,10.645767211914062
target,56,And I was positioned in a very sacred area of Westminster Cathedral.,max,26.488384246826172
target,56,And I was positioned in a very sacred area of Westminster Cathedral.,last,0.0
target,57,And a slightly spiky user experience isn't even the biggest problem.,mean,11.547994613647461
target,57,And a slightly spiky user experience isn't even the biggest problem.,max,36.89183807373047
target,57,And a slightly spiky user experience isn't even the biggest problem.,last,0.0
target,58,And this is not the only virtue a rationalist needs.,mean,11.012950897216797
target,58,And this is not the only virtue a rationalist needs.,max,43.7429084777832
target,58,And this is not the only virtue a rationalist needs.,last,0.0
target,59,And they've already beaten the Seahawks and Cardinals.,mean,9.424410820007324
target,59,And they've already beaten the Seahawks and Cardinals.,max,34.351715087890625
target,59,And they've already beaten the Seahawks and Cardinals.,last,0.0
target,60,"And a significant amount of that heroin is ending up here, in Russia.",mean,11.397703170776367
target,60,"And a significant amount of that heroin is ending up here, in Russia.",max,32.66863250732422
target,60,"And a significant amount of that heroin is ending up here, in Russia.",last,0.0
target,61,"And they got a shitty sense of style, but sexy accents!",mean,12.514145851135254
target,61,"And they got a shitty sense of style, but sexy accents!",max,33.251407623291016
target,61,"And they got a shitty sense of style, but sexy accents!",last,0.0
target,62,And the same provider might be used several times with different parameters.,mean,7.323219299316406
target,62,And the same provider might be used several times with different parameters.,max,29.43904685974121
target,62,And the same provider might be used several times with different parameters.,last,0.0
target,63,And in two weeks I’ll catch up on explaining the project’s idea.,mean,11.87051773071289
target,63,And in two weeks I’ll catch up on explaining the project’s idea.,max,37.11517333984375
target,63,And in two weeks I’ll catch up on explaining the project’s idea.,last,0.0
target,64,And there appear to be plenty of young Americans with entrepreneurial potential.,mean,11.07957935333252
target,64,And there appear to be plenty of young Americans with entrepreneurial potential.,max,40.252037048339844
target,64,And there appear to be plenty of young Americans with entrepreneurial potential.,last,0.0
target,65,And the way we’ve maintained safety in the past is we cage robots.,mean,13.355031967163086
target,65,And the way we’ve maintained safety in the past is we cage robots.,max,40.425315856933594
target,65,And the way we’ve maintained safety in the past is we cage robots.,last,0.0
target,66,And it turns out that all of the reasons for the war were blatantly wrong.,mean,11.16812801361084
target,66,And it turns out that all of the reasons for the war were blatantly wrong.,max,28.395374298095703
target,66,And it turns out that all of the reasons for the war were blatantly wrong.,last,0.0
target,67,"And I think that nobody expects this movement to be fast or to be easy.""",mean,11.121301651000977
target,67,"And I think that nobody expects this movement to be fast or to be easy.""",max,33.60917663574219
target,67,"And I think that nobody expects this movement to be fast or to be easy.""",last,0.0
target,68,"And when I am reminded, it is not always in the kindest terms.",mean,10.438279151916504
target,68,"And when I am reminded, it is not always in the kindest terms.",max,29.674015045166016
target,68,"And when I am reminded, it is not always in the kindest terms.",last,0.0
target,69,And coming down from it is unsurprisingly painful.,mean,6.652305603027344
target,69,And coming down from it is unsurprisingly painful.,max,19.90528106689453
target,69,And coming down from it is unsurprisingly painful.,last,0.0
target,70,And I thought that's really not that different from what many kids experience.,mean,1.5944645404815674
target,70,And I thought that's really not that different from what many kids experience.,max,14.408123016357422
target,70,And I thought that's really not that different from what many kids experience.,last,0.0
target,71,And a good reason to actually write down some of my thoughts.,mean,5.349754810333252
target,71,And a good reason to actually write down some of my thoughts.,max,25.853679656982422
target,71,And a good reason to actually write down some of my thoughts.,last,0.0
target,72,"And we can see it from the air, where these vehicles are going,” Putin said.",mean,11.093910217285156
target,72,"And we can see it from the air, where these vehicles are going,” Putin said.",max,37.454345703125
target,72,"And we can see it from the air, where these vehicles are going,” Putin said.",last,0.0
target,73,And they sort of made it sound like I had a feud with the intelligence community.,mean,12.070857048034668
target,73,And they sort of made it sound like I had a feud with the intelligence community.,max,33.23012924194336
target,73,And they sort of made it sound like I had a feud with the intelligence community.,last,0.0
target,74,And it was that moment that I pledged myself to nursing.,mean,6.754365921020508
target,74,And it was that moment that I pledged myself to nursing.,max,26.87557029724121
target,74,And it was that moment that I pledged myself to nursing.,last,0.0
target,75,And it is once again using the threat of nuclear arms to blackmail the West.,mean,9.255242347717285
target,75,And it is once again using the threat of nuclear arms to blackmail the West.,max,36.9683723449707
target,75,And it is once again using the threat of nuclear arms to blackmail the West.,last,0.0
target,76,And I believe that there is no area of American policy in greater need of this thinking than America�s foreign policy.,mean,11.736323356628418
target,76,And I believe that there is no area of American policy in greater need of this thinking than America�s foreign policy.,max,34.87260437011719
target,76,And I believe that there is no area of American policy in greater need of this thinking than America�s foreign policy.,last,0.0
target,77,And I think that's a big advantage we have over what the Wii has done to date.,mean,9.50009822845459
target,77,And I think that's a big advantage we have over what the Wii has done to date.,max,33.60917663574219
target,77,And I think that's a big advantage we have over what the Wii has done to date.,last,0.0
target,78,And the FEC writes another demand for another explanation.,mean,3.484574794769287
target,78,And the FEC writes another demand for another explanation.,max,25.426607131958008
target,78,And the FEC writes another demand for another explanation.,last,0.0
target,79,"And he was smart, too; he went to Yale.",mean,5.861126899719238
target,79,"And he was smart, too; he went to Yale.",max,34.430145263671875
target,79,"And he was smart, too; he went to Yale.",last,0.0
target,80,And the insurers had no money in reserve; think AIG.,mean,11.028989791870117
target,80,And the insurers had no money in reserve; think AIG.,max,42.06842041015625
target,80,And the insurers had no money in reserve; think AIG.,last,0.0
target,81,And it’s the purpose of the wealth effects doctrine and stock market puts.,mean,10.314935684204102
target,81,And it’s the purpose of the wealth effects doctrine and stock market puts.,max,35.259639739990234
target,81,And it’s the purpose of the wealth effects doctrine and stock market puts.,last,0.0
target,82,And I’m definitely a fan of Marie Laveau and New Orleans.,mean,11.012175559997559
target,82,And I’m definitely a fan of Marie Laveau and New Orleans.,max,34.51283645629883
target,82,And I’m definitely a fan of Marie Laveau and New Orleans.,last,0.0
target,83,And it’s a big reason fans can’t wait to see what lies ahead.,mean,8.107949256896973
target,83,And it’s a big reason fans can’t wait to see what lies ahead.,max,33.917198181152344
target,83,And it’s a big reason fans can’t wait to see what lies ahead.,last,0.0
target,84,"And boy, do relationships get lost when they exist online.",mean,12.798837661743164
target,84,"And boy, do relationships get lost when they exist online.",max,34.68958282470703
target,84,"And boy, do relationships get lost when they exist online.",last,0.0
target,85,"And in the case of women, they are prohibited to give birth to babies.",mean,5.590060710906982
target,85,"And in the case of women, they are prohibited to give birth to babies.",max,22.51515007019043
target,85,"And in the case of women, they are prohibited to give birth to babies.",last,0.0
target,86,And the administration is happy with the ability to do that and make those changes that were necessary.,mean,7.802684783935547
target,86,And the administration is happy with the ability to do that and make those changes that were necessary.,max,37.549861907958984
target,86,And the administration is happy with the ability to do that and make those changes that were necessary.,last,0.0
target,87,"And I think we’ll beat his formula of two reductions for one increase,” he said.",mean,8.812044143676758
target,87,"And I think we’ll beat his formula of two reductions for one increase,” he said.",max,36.801231384277344
target,87,"And I think we’ll beat his formula of two reductions for one increase,” he said.",last,0.0
target,88,"And the transformation is taking place right before our eyes, with both men already sporting character moustaches.",mean,8.065605163574219
target,88,"And the transformation is taking place right before our eyes, with both men already sporting character moustaches.",max,35.64686584472656
target,88,"And the transformation is taking place right before our eyes, with both men already sporting character moustaches.",last,0.0
target,89,And I know what setting children up to fail looks like.,mean,8.786150932312012
target,89,And I know what setting children up to fail looks like.,max,34.98950958251953
target,89,And I know what setting children up to fail looks like.,last,0.0
target,90,And it can be frustrating when you put a black hole just in the wrong spot.,mean,10.510452270507812
target,90,And it can be frustrating when you put a black hole just in the wrong spot.,max,43.571563720703125
