group,index,text,agg,val
target,0,"Prime Minister Stephen Harper answers a question during question period in the House of Commons in Ottawa on Wednesday, Feb. 18, 2015.",mean,58.941768646240234
target,0,"Prime Minister Stephen Harper answers a question during question period in the House of Commons in Ottawa on Wednesday, Feb. 18, 2015.",max,124.75432586669922
target,0,"Prime Minister Stephen Harper answers a question during question period in the House of Commons in Ottawa on Wednesday, Feb. 18, 2015.",last,101.37858581542969
target,1,With a report from CTV Kitchener and files from The Canadian Press,mean,53.99985885620117
target,1,With a report from CTV Kitchener and files from The Canadian Press,max,129.97238159179688
target,1,With a report from CTV Kitchener and files from The Canadian Press,last,89.83638763427734
target,2,"The honourable Judy Sgro, who represents York West for the Liberals is also a Tory backer.",mean,60.38843536376953
target,2,"The honourable Judy Sgro, who represents York West for the Liberals is also a Tory backer.",max,129.91873168945312
target,2,"The honourable Judy Sgro, who represents York West for the Liberals is also a Tory backer.",last,96.9764404296875
target,3,Bill C-33 will repeal those restrictions.,mean,58.4556999206543
target,3,Bill C-33 will repeal those restrictions.,max,109.35737609863281
target,3,Bill C-33 will repeal those restrictions.,last,104.1795425415039
target,4,She was assigned to Maritime Forces Atlantic (MARLANT) homeported at CFB Halifax.,mean,43.093631744384766
target,4,She was assigned to Maritime Forces Atlantic (MARLANT) homeported at CFB Halifax.,max,93.07260131835938
target,4,She was assigned to Maritime Forces Atlantic (MARLANT) homeported at CFB Halifax.,last,69.48686218261719
target,5,Former Calgary Health CEO Jack Davis is also appealing the release of his expenses to CBC News.,mean,68.94397735595703
target,5,Former Calgary Health CEO Jack Davis is also appealing the release of his expenses to CBC News.,max,114.36937713623047
target,5,Former Calgary Health CEO Jack Davis is also appealing the release of his expenses to CBC News.,last,110.17932891845703
target,6,Premier Rachel Notley has already stacked her inner circle with the best NDP brains in the country.,mean,59.08787536621094
target,6,Premier Rachel Notley has already stacked her inner circle with the best NDP brains in the country.,max,104.1937484741211
target,6,Premier Rachel Notley has already stacked her inner circle with the best NDP brains in the country.,last,104.1937484741211
target,7,"[3] Parliament responded to Parker by introducing the Marihuana Medical Access Regulations, SOR/2001-227, as amended (“MMAR”).",mean,33.84851837158203
target,7,"[3] Parliament responded to Parker by introducing the Marihuana Medical Access Regulations, SOR/2001-227, as amended (“MMAR”).",max,95.49195098876953
target,7,"[3] Parliament responded to Parker by introducing the Marihuana Medical Access Regulations, SOR/2001-227, as amended (“MMAR”).",last,82.03385925292969
target,8,CBC News reported Tuesday Harper is under pressure from Conservative senators to start filling up those empty seats.,mean,69.75711822509766
target,8,CBC News reported Tuesday Harper is under pressure from Conservative senators to start filling up those empty seats.,max,123.97906494140625
target,8,CBC News reported Tuesday Harper is under pressure from Conservative senators to start filling up those empty seats.,last,123.97906494140625
target,9,With a report from CTV Vancouver's Scott Hurst,mean,31.929183959960938
target,9,With a report from CTV Vancouver's Scott Hurst,max,84.98663330078125
target,9,With a report from CTV Vancouver's Scott Hurst,last,61.967803955078125
target,10,The Trudeau government is trying to abandon their promise to upgrade Canada’s voting system ahead of the 2019 election.,mean,72.755859375
target,10,The Trudeau government is trying to abandon their promise to upgrade Canada’s voting system ahead of the 2019 election.,max,131.1079864501953
target,10,The Trudeau government is trying to abandon their promise to upgrade Canada’s voting system ahead of the 2019 election.,last,115.9940414428711
target,11,Government of Canada test methods used.,mean,38.20260238647461
target,11,Government of Canada test methods used.,max,94.08892059326172
target,11,Government of Canada test methods used.,last,43.49852752685547
target,12,"With the Manitoba fires, and the addition of fires across the prairies and northern territories, many parts of Manitoba could see smoky conditions.",mean,54.4176139831543
target,12,"With the Manitoba fires, and the addition of fires across the prairies and northern territories, many parts of Manitoba could see smoky conditions.",max,106.17933654785156
target,12,"With the Manitoba fires, and the addition of fires across the prairies and northern territories, many parts of Manitoba could see smoky conditions.",last,106.17933654785156
target,13,"Tory MLA Ted Flemming, the Opposition's justice critic, said Smith’s letter shows the Liberals have to pull the legislative amendments.",mean,64.33329772949219
target,13,"Tory MLA Ted Flemming, the Opposition's justice critic, said Smith’s letter shows the Liberals have to pull the legislative amendments.",max,121.7741470336914
target,13,"Tory MLA Ted Flemming, the Opposition's justice critic, said Smith’s letter shows the Liberals have to pull the legislative amendments.",last,116.30641174316406
target,14,GUELPH — Cooperator's Hall at the River Run Centre was packed Thursday evening with supporters of Green Party leader Elizabeth May and local candidate Gord Miller.,mean,64.15350341796875
target,14,GUELPH — Cooperator's Hall at the River Run Centre was packed Thursday evening with supporters of Green Party leader Elizabeth May and local candidate Gord Miller.,max,124.56266784667969
target,14,GUELPH — Cooperator's Hall at the River Run Centre was packed Thursday evening with supporters of Green Party leader Elizabeth May and local candidate Gord Miller.,last,85.89471435546875
target,15,"Sources tell CBC Toronto the team had the alleged gunman under surveillance, but Halton police have never confirmed why.",mean,50.46733856201172
target,15,"Sources tell CBC Toronto the team had the alleged gunman under surveillance, but Halton police have never confirmed why.",max,126.25587463378906
target,15,"Sources tell CBC Toronto the team had the alleged gunman under surveillance, but Halton police have never confirmed why.",last,126.25587463378906
target,16,"National voter support for the NDP, Conservatives and Liberals from January to August of 2015.",mean,57.91290283203125
target,16,"National voter support for the NDP, Conservatives and Liberals from January to August of 2015.",max,115.35076141357422
target,16,"National voter support for the NDP, Conservatives and Liberals from January to August of 2015.",last,93.20008087158203
target,17,Federal Finance Minister Bill Morneau said the intent is to have all taxes included within that price.,mean,60.091888427734375
target,17,Federal Finance Minister Bill Morneau said the intent is to have all taxes included within that price.,max,116.02943420410156
target,17,Federal Finance Minister Bill Morneau said the intent is to have all taxes included within that price.,last,112.47401428222656
target,18,"NDP Leader Thomas Mulcair has waded into the TPP debate during the campaign, pledging an NDP government would fight for stronger rules in the Trans-Pacific Partnership accord to protect homegrown manufacturing.",mean,59.880855560302734
