group,index,text,agg,val
target,0,Shri Parrikar was taken on a whirlwind tour of the massive complex spread across hundreds of acres of land and was briefed on the future expansion plans including the proposed naval air station and housing complex.,mean,58.202022552490234
target,0,Shri Parrikar was taken on a whirlwind tour of the massive complex spread across hundreds of acres of land and was briefed on the future expansion plans including the proposed naval air station and housing complex.,max,85.0640640258789
target,0,Shri Parrikar was taken on a whirlwind tour of the massive complex spread across hundreds of acres of land and was briefed on the future expansion plans including the proposed naval air station and housing complex.,last,78.30351257324219
target,1,"With the passage of stringent laws like Benami Act, the department needed this technological tool to make “sense” of the data that is with them.",mean,54.83432388305664
target,1,"With the passage of stringent laws like Benami Act, the department needed this technological tool to make “sense” of the data that is with them.",max,91.74828338623047
target,1,"With the passage of stringent laws like Benami Act, the department needed this technological tool to make “sense” of the data that is with them.",last,91.74828338623047
target,2,The clearance from the Home Ministry came during the second week of June and the review is likely to be started soon whereby Robert Vadra and many other VVIPs would be likely to lose the ‘no-frisking’ at the airports privilege very soon.,mean,59.84785461425781
target,2,The clearance from the Home Ministry came during the second week of June and the review is likely to be started soon whereby Robert Vadra and many other VVIPs would be likely to lose the ‘no-frisking’ at the airports privilege very soon.,max,96.91387176513672
target,2,The clearance from the Home Ministry came during the second week of June and the review is likely to be started soon whereby Robert Vadra and many other VVIPs would be likely to lose the ‘no-frisking’ at the airports privilege very soon.,last,82.99098205566406
target,3,But till date every bag made by the brand boasts of the same signature quality.,mean,36.98080062866211
target,3,But till date every bag made by the brand boasts of the same signature quality.,max,57.24877166748047
target,3,But till date every bag made by the brand boasts of the same signature quality.,last,50.75727462768555
target,4,Congress president Sonia Gandhi had flagged off these trucks fron New Delhi on Monday.,mean,61.774696350097656
target,4,Congress president Sonia Gandhi had flagged off these trucks fron New Delhi on Monday.,max,91.10215759277344
target,4,Congress president Sonia Gandhi had flagged off these trucks fron New Delhi on Monday.,last,82.19142150878906
target,5,CRPF personnel were also present.,mean,44.810829162597656
target,5,CRPF personnel were also present.,max,70.47981262207031
target,5,CRPF personnel were also present.,last,70.47981262207031
target,6,"Kejriwal also congratulated all the people present at the function and said, ""When we won in Delhi we thought there will be a full stop on the corruption, but despite being in government for five months we have to fight to curb it.""",mean,64.35711669921875
target,6,"Kejriwal also congratulated all the people present at the function and said, ""When we won in Delhi we thought there will be a full stop on the corruption, but despite being in government for five months we have to fight to curb it.""",max,93.09837341308594
target,6,"Kejriwal also congratulated all the people present at the function and said, ""When we won in Delhi we thought there will be a full stop on the corruption, but despite being in government for five months we have to fight to curb it.""",last,69.38333892822266
target,7,Sachin GIDC police had intimated the Income tax department officials to assist and interrogate all the four people.,mean,46.761409759521484
target,7,Sachin GIDC police had intimated the Income tax department officials to assist and interrogate all the four people.,max,75.68708801269531
target,7,Sachin GIDC police had intimated the Income tax department officials to assist and interrogate all the four people.,last,67.17532348632812
target,8,"The additional capacity will also help Intel India consolidate its R&D operations to a large extent at the SRR campus, the company said in a statement.“Karnataka has always been in the forefront when it comes to the IT industry, being the centre of investment, our Invest Karnataka initiative is proving its worth with such beneficial investments in the recent years.",mean,55.36726379394531
target,8,"The additional capacity will also help Intel India consolidate its R&D operations to a large extent at the SRR campus, the company said in a statement.“Karnataka has always been in the forefront when it comes to the IT industry, being the centre of investment, our Invest Karnataka initiative is proving its worth with such beneficial investments in the recent years.",max,81.7338638305664
target,8,"The additional capacity will also help Intel India consolidate its R&D operations to a large extent at the SRR campus, the company said in a statement.“Karnataka has always been in the forefront when it comes to the IT industry, being the centre of investment, our Invest Karnataka initiative is proving its worth with such beneficial investments in the recent years.",last,73.93572235107422
target,9,"The lead actor of the film Prabhas retweeted all the congratulatory messages which poured in, including from Anuskha Shetty, who also featured in the film.",mean,40.18501281738281
target,9,"The lead actor of the film Prabhas retweeted all the congratulatory messages which poured in, including from Anuskha Shetty, who also featured in the film.",max,77.97529602050781
target,9,"The lead actor of the film Prabhas retweeted all the congratulatory messages which poured in, including from Anuskha Shetty, who also featured in the film.",last,61.47311782836914
target,10,"Besides, the AAP's membership drive is not as vibrant as the media hype surrounding it.",mean,54.40032196044922
target,10,"Besides, the AAP's membership drive is not as vibrant as the media hype surrounding it.",max,91.80300903320312
target,10,"Besides, the AAP's membership drive is not as vibrant as the media hype surrounding it.",last,89.19822692871094
target,11,"jawans of the Indian Army and BSF in Gurez valley +

Spending time with our Forces gives me new energy.",mean,44.555877685546875
target,11,"jawans of the Indian Army and BSF in Gurez valley +

Spending time with our Forces gives me new energy.",max,70.9999771118164
target,11,"jawans of the Indian Army and BSF in Gurez valley +

Spending time with our Forces gives me new energy.",last,69.11814880371094
target,12,"According to Harish -an organiser- more than 50,000 people will join the protest, with 7000-odd people expected to join from Vijayawada alone.",mean,51.13728332519531
target,12,"According to Harish -an organiser- more than 50,000 people will join the protest, with 7000-odd people expected to join from Vijayawada alone.",max,79.38543701171875
target,12,"According to Harish -an organiser- more than 50,000 people will join the protest, with 7000-odd people expected to join from Vijayawada alone.",last,75.01994323730469
target,13,"Here CM Amarinder Singh, offsetting past reputation of vacillation, is working over time to address the grievances of the people who have thrown out the BJP-Akali combine in the recent Assembly polls.",mean,56.16802215576172
target,13,"Here CM Amarinder Singh, offsetting past reputation of vacillation, is working over time to address the grievances of the people who have thrown out the BJP-Akali combine in the recent Assembly polls.",max,87.92654418945312
