group,index,text,agg,val
target,0,Check her out!,mean,9.687362670898438
target,0,Check her out!,max,26.235008239746094
target,0,Check her out!,last,22.201805114746094
target,1,She does not.,mean,21.3810977935791
target,1,She does not.,max,53.474185943603516
target,1,She does not.,last,53.474185943603516
target,2,She too died.,mean,15.69752025604248
target,2,She too died.,max,41.896968841552734
target,2,She too died.,last,41.896968841552734
target,3,She looks concerned.,mean,20.689687728881836
target,3,She looks concerned.,max,53.978511810302734
target,3,She looks concerned.,last,53.978511810302734
target,4,She is cunning.,mean,15.579974174499512
target,4,She is cunning.,max,49.19808578491211
target,4,She is cunning.,last,49.19808578491211
target,5,Now she has indicated that she will support Trump.,mean,19.481525421142578
target,5,Now she has indicated that she will support Trump.,max,53.81613540649414
target,5,Now she has indicated that she will support Trump.,last,36.01205825805664
target,6,She started screaming.,mean,22.797786712646484
target,6,She started screaming.,max,45.66166687011719
target,6,She started screaming.,last,45.66166687011719
target,7,and she could not have been more right!,mean,8.406781196594238
target,7,and she could not have been more right!,max,18.156448364257812
target,7,and she could not have been more right!,last,12.533219337463379
target,8,she asked.,mean,17.245744705200195
target,8,she asked.,max,32.70246887207031
target,8,she asked.,last,26.329944610595703
target,9,she asked.,mean,17.245744705200195
target,9,she asked.,max,32.70246887207031
target,9,she asked.,last,26.329944610595703
target,10,And she’s Dutch.,mean,5.127908706665039
target,10,And she’s Dutch.,max,30.767452239990234
target,10,And she’s Dutch.,last,30.767452239990234
target,11,She screamed.,mean,19.197479248046875
target,11,She screamed.,max,46.35157012939453
target,11,She screamed.,last,46.35157012939453
target,12,She’s a marine biologist.,mean,6.936508655548096
target,12,She’s a marine biologist.,max,40.5826530456543
target,12,She’s a marine biologist.,last,40.5826530456543
target,13,She too turned around.,mean,22.702129364013672
target,13,She too turned around.,max,54.43929672241211
target,13,She too turned around.,last,54.43929672241211
target,14,“ She's everywhere and she's nowhere.,mean,13.209686279296875
target,14,“ She's everywhere and she's nowhere.,max,50.536521911621094
target,14,“ She's everywhere and she's nowhere.,last,50.536521911621094
target,15,She’s a fantastic teacher.,mean,11.115204811096191
target,15,She’s a fantastic teacher.,max,45.814735412597656
target,15,She’s a fantastic teacher.,last,45.814735412597656
target,16,She was a teenage girl.,mean,9.829538345336914
target,16,She was a teenage girl.,max,49.43864440917969
target,16,She was a teenage girl.,last,49.43864440917969
target,17,She was not hurt.,mean,14.803680419921875
target,17,She was not hurt.,max,54.72787857055664
target,17,She was not hurt.,last,54.72787857055664
target,18,She refused.,mean,19.424760818481445
target,18,She refused.,max,49.87222671508789
target,18,She refused.,last,49.87222671508789
target,19,She could certainly have been a woman just like me.,mean,12.114011764526367
target,19,She could certainly have been a woman just like me.,max,44.03015899658203
target,19,She could certainly have been a woman just like me.,last,44.03015899658203
target,20,She shook her head.,mean,20.1185302734375
target,20,She shook her head.,max,49.01747512817383
target,20,She shook her head.,last,48.030704498291016
target,21,"She cried, smiling.",mean,26.058361053466797
target,21,"She cried, smiling.",max,47.52669906616211
target,21,"She cried, smiling.",last,47.52669906616211
target,22,She was done.,mean,14.650534629821777
target,22,She was done.,max,42.89622497558594
target,22,She was done.,last,42.89622497558594
target,23,Anna continued.,mean,21.41439437866211
target,23,Anna continued.,max,44.05665969848633
target,23,Anna continued.,last,41.60091781616211
