group,index,text,agg,val
target,0,"Besides, the AAP's membership drive is not as vibrant as the media hype surrounding it.",mean,15.291043281555176
target,0,"Besides, the AAP's membership drive is not as vibrant as the media hype surrounding it.",max,36.31190872192383
target,0,"Besides, the AAP's membership drive is not as vibrant as the media hype surrounding it.",last,21.776641845703125
target,1,Shri Parrikar was taken on a whirlwind tour of the massive complex spread across hundreds of acres of land and was briefed on the future expansion plans including the proposed naval air station and housing complex.,mean,20.580690383911133
target,1,Shri Parrikar was taken on a whirlwind tour of the massive complex spread across hundreds of acres of land and was briefed on the future expansion plans including the proposed naval air station and housing complex.,max,35.2800178527832
target,1,Shri Parrikar was taken on a whirlwind tour of the massive complex spread across hundreds of acres of land and was briefed on the future expansion plans including the proposed naval air station and housing complex.,last,21.871685028076172
target,2,But till date every bag made by the brand boasts of the same signature quality.,mean,20.006549835205078
target,2,But till date every bag made by the brand boasts of the same signature quality.,max,38.365081787109375
target,2,But till date every bag made by the brand boasts of the same signature quality.,last,27.3532657623291
target,3,CRPF personnel were also present.,mean,17.31503677368164
target,3,CRPF personnel were also present.,max,28.581939697265625
target,3,CRPF personnel were also present.,last,21.291555404663086
target,4,BANGALORE: Here’s some bad news for adventure buffs from Bangalore.,mean,18.317039489746094
target,4,BANGALORE: Here’s some bad news for adventure buffs from Bangalore.,max,30.720258712768555
target,4,BANGALORE: Here’s some bad news for adventure buffs from Bangalore.,last,28.010343551635742
target,5,Congress president Sonia Gandhi had flagged off these trucks fron New Delhi on Monday.,mean,19.617103576660156
target,5,Congress president Sonia Gandhi had flagged off these trucks fron New Delhi on Monday.,max,31.17877769470215
target,5,Congress president Sonia Gandhi had flagged off these trucks fron New Delhi on Monday.,last,21.9335994720459
target,6,"However, the CBI's idea to give a break in National Insurance contributions of newly hired youngsters is a welcome start.",mean,17.178009033203125
target,6,"However, the CBI's idea to give a break in National Insurance contributions of newly hired youngsters is a welcome start.",max,36.727195739746094
target,6,"However, the CBI's idea to give a break in National Insurance contributions of newly hired youngsters is a welcome start.",last,30.27383041381836
target,7,"jawans of the Indian Army and BSF in Gurez valley +

Spending time with our Forces gives me new energy.",mean,18.255563735961914
target,7,"jawans of the Indian Army and BSF in Gurez valley +

Spending time with our Forces gives me new energy.",max,29.859066009521484
target,7,"jawans of the Indian Army and BSF in Gurez valley +

Spending time with our Forces gives me new energy.",last,21.554920196533203
target,8,"The additional capacity will also help Intel India consolidate its R&D operations to a large extent at the SRR campus, the company said in a statement.“Karnataka has always been in the forefront when it comes to the IT industry, being the centre of investment, our Invest Karnataka initiative is proving its worth with such beneficial investments in the recent years.",mean,19.566959381103516
target,8,"The additional capacity will also help Intel India consolidate its R&D operations to a large extent at the SRR campus, the company said in a statement.“Karnataka has always been in the forefront when it comes to the IT industry, being the centre of investment, our Invest Karnataka initiative is proving its worth with such beneficial investments in the recent years.",max,32.919376373291016
target,8,"The additional capacity will also help Intel India consolidate its R&D operations to a large extent at the SRR campus, the company said in a statement.“Karnataka has always been in the forefront when it comes to the IT industry, being the centre of investment, our Invest Karnataka initiative is proving its worth with such beneficial investments in the recent years.",last,13.038817405700684
target,9,The bench passed the order despite counsel for Dr. Sen seeking adjournment of the matter.,mean,15.787083625793457
target,9,The bench passed the order despite counsel for Dr. Sen seeking adjournment of the matter.,max,28.068870544433594
target,9,The bench passed the order despite counsel for Dr. Sen seeking adjournment of the matter.,last,13.797351837158203
target,10,Sachin GIDC police had intimated the Income tax department officials to assist and interrogate all the four people.,mean,18.765827178955078
target,10,Sachin GIDC police had intimated the Income tax department officials to assist and interrogate all the four people.,max,31.038150787353516
target,10,Sachin GIDC police had intimated the Income tax department officials to assist and interrogate all the four people.,last,24.078105926513672
target,11,"Here CM Amarinder Singh, offsetting past reputation of vacillation, is working over time to address the grievances of the people who have thrown out the BJP-Akali combine in the recent Assembly polls.",mean,16.773252487182617
target,11,"Here CM Amarinder Singh, offsetting past reputation of vacillation, is working over time to address the grievances of the people who have thrown out the BJP-Akali combine in the recent Assembly polls.",max,27.002960205078125
target,11,"Here CM Amarinder Singh, offsetting past reputation of vacillation, is working over time to address the grievances of the people who have thrown out the BJP-Akali combine in the recent Assembly polls.",last,18.648303985595703
target,12,"Read: Aadhaar payment: Forget debit and credit cards, now pay bills with your thumb

First Published: Mar 08, 2017 21:41 IST",mean,15.1510009765625
target,12,"Read: Aadhaar payment: Forget debit and credit cards, now pay bills with your thumb

First Published: Mar 08, 2017 21:41 IST",max,31.24013328552246
target,12,"Read: Aadhaar payment: Forget debit and credit cards, now pay bills with your thumb

First Published: Mar 08, 2017 21:41 IST",last,20.095182418823242
target,13,"(As Karnataka places cooking gas subsidies under the ration card programme, unlike many other states, we had a bigger net.)",mean,16.823415756225586
target,13,"(As Karnataka places cooking gas subsidies under the ration card programme, unlike many other states, we had a bigger net.)",max,27.822460174560547
target,13,"(As Karnataka places cooking gas subsidies under the ration card programme, unlike many other states, we had a bigger net.)",last,14.873067855834961
target,14,"Also Read: Art of Living’s Yamuna event: NGT panel says rehabilitation to cost Rs42 crore

“The AOL had obtained all the necessary permission including the NGT’s.",mean,16.9023494720459
target,14,"Also Read: Art of Living’s Yamuna event: NGT panel says rehabilitation to cost Rs42 crore

“The AOL had obtained all the necessary permission including the NGT’s.",max,29.46527099609375
target,14,"Also Read: Art of Living’s Yamuna event: NGT panel says rehabilitation to cost Rs42 crore

“The AOL had obtained all the necessary permission including the NGT’s.",last,17.214445114135742
target,15,"The film has been received well in AP, thanks to no big releases in the state.",mean,17.640609741210938
target,15,"The film has been received well in AP, thanks to no big releases in the state.",max,31.05924415588379
target,15,"The film has been received well in AP, thanks to no big releases in the state.",last,23.05350112915039
target,16,Naidu's shifting positions have created confusion in the minds of voters about the TDP's real position.,mean,19.047607421875
target,16,Naidu's shifting positions have created confusion in the minds of voters about the TDP's real position.,max,30.378475189208984
target,16,Naidu's shifting positions have created confusion in the minds of voters about the TDP's real position.,last,19.046894073486328
target,17,A committee headed by Revenue Secretary Hasmukh Adhia met exporters on Tuesday to look into the worries of the sector and assured faster relief.,mean,18.12213897705078
target,17,A committee headed by Revenue Secretary Hasmukh Adhia met exporters on Tuesday to look into the worries of the sector and assured faster relief.,max,33.47830581665039
target,17,A committee headed by Revenue Secretary Hasmukh Adhia met exporters on Tuesday to look into the worries of the sector and assured faster relief.,last,29.719261169433594
target,18,The Aam Aadmi Party (AAP) came back to power in Delhi in February 2015.,mean,19.116003036499023
target,18,The Aam Aadmi Party (AAP) came back to power in Delhi in February 2015.,max,36.30915832519531
target,18,The Aam Aadmi Party (AAP) came back to power in Delhi in February 2015.,last,18.796260833740234
target,19,"While Modi was to attend a string of events at the Dereka ground, DLW guest house and the army campus, almost all major schools in the town were shut owing to the ""VVIP movement"", said an informed source.",mean,19.587806701660156
target,19,"While Modi was to attend a string of events at the Dereka ground, DLW guest house and the army campus, almost all major schools in the town were shut owing to the ""VVIP movement"", said an informed source.",max,32.29697036743164
target,19,"While Modi was to attend a string of events at the Dereka ground, DLW guest house and the army campus, almost all major schools in the town were shut owing to the ""VVIP movement"", said an informed source.",last,24.970996856689453
target,20,"You have some great actors from the nation in your house, who are willing to give their advice, so why not take it,"" asked Abhishek, who likes to deal with criticism ""positively"".",mean,17.04241180419922
target,20,"You have some great actors from the nation in your house, who are willing to give their advice, so why not take it,"" asked Abhishek, who likes to deal with criticism ""positively"".",max,38.36259460449219
target,20,"You have some great actors from the nation in your house, who are willing to give their advice, so why not take it,"" asked Abhishek, who likes to deal with criticism ""positively"".",last,32.261268615722656
target,21,"P Vaidyanathan Iyer: In the last one year, the economy has been struggling to cross the 7-8 per cent growth mark.",mean,16.189132690429688
target,21,"P Vaidyanathan Iyer: In the last one year, the economy has been struggling to cross the 7-8 per cent growth mark.",max,27.392385482788086
target,21,"P Vaidyanathan Iyer: In the last one year, the economy has been struggling to cross the 7-8 per cent growth mark.",last,19.833576202392578
target,22,"""I had demanded an inquiry against Pachauri in a letter I wrote to Petroleum Minister Murli Deora some time back,"" he confirmed.",mean,16.821828842163086
target,22,"""I had demanded an inquiry against Pachauri in a letter I wrote to Petroleum Minister Murli Deora some time back,"" he confirmed.",max,30.77445411682129
target,22,"""I had demanded an inquiry against Pachauri in a letter I wrote to Petroleum Minister Murli Deora some time back,"" he confirmed.",last,16.933879852294922
target,23,"He commanded the Southern Command at Pune, whose orientation is in the desert areas, before assuming the appointment of VCOAS under Gen Singh.",mean,14.512033462524414
target,23,"He commanded the Southern Command at Pune, whose orientation is in the desert areas, before assuming the appointment of VCOAS under Gen Singh.",max,31.795364379882812
target,23,"He commanded the Southern Command at Pune, whose orientation is in the desert areas, before assuming the appointment of VCOAS under Gen Singh.",last,11.506532669067383
target,24,"Investigations have revealed that Kumar’s Mumbai-based aide would ask for call details of personalities, which the he procured and duly handed over during personal meetings at posh hotels of Delhi.",mean,15.555221557617188
target,24,"Investigations have revealed that Kumar’s Mumbai-based aide would ask for call details of personalities, which the he procured and duly handed over during personal meetings at posh hotels of Delhi.",max,27.976482391357422
target,24,"Investigations have revealed that Kumar’s Mumbai-based aide would ask for call details of personalities, which the he procured and duly handed over during personal meetings at posh hotels of Delhi.",last,26.04555892944336
target,25,"The National Commission for Women has decided to take suo motu cognisance of the allegations of Bollywood actress Preity Zinta against her former boyfriend and businessman Ness Wadia, and will conduct a detailed investigation into the case.",mean,17.603008270263672
target,25,"The National Commission for Women has decided to take suo motu cognisance of the allegations of Bollywood actress Preity Zinta against her former boyfriend and businessman Ness Wadia, and will conduct a detailed investigation into the case.",max,29.781753540039062
target,25,"The National Commission for Women has decided to take suo motu cognisance of the allegations of Bollywood actress Preity Zinta against her former boyfriend and businessman Ness Wadia, and will conduct a detailed investigation into the case.",last,22.84479522705078
target,26,"According to Harish -an organiser- more than 50,000 people will join the protest, with 7000-odd people expected to join from Vijayawada alone.",mean,16.77128791809082
target,26,"According to Harish -an organiser- more than 50,000 people will join the protest, with 7000-odd people expected to join from Vijayawada alone.",max,29.546871185302734
