group,index,text,agg,val
target,0,"Prime Minister Stephen Harper answers a question during question period in the House of Commons in Ottawa on Wednesday, Feb. 18, 2015.",mean,20.20589256286621
target,0,"Prime Minister Stephen Harper answers a question during question period in the House of Commons in Ottawa on Wednesday, Feb. 18, 2015.",max,43.329071044921875
target,0,"Prime Minister Stephen Harper answers a question during question period in the House of Commons in Ottawa on Wednesday, Feb. 18, 2015.",last,38.144073486328125
target,1,With a report from CTV Kitchener and files from The Canadian Press,mean,11.647488594055176
target,1,With a report from CTV Kitchener and files from The Canadian Press,max,30.72344207763672
target,1,With a report from CTV Kitchener and files from The Canadian Press,last,30.72344207763672
target,2,"The honourable Judy Sgro, who represents York West for the Liberals is also a Tory backer.",mean,10.013382911682129
target,2,"The honourable Judy Sgro, who represents York West for the Liberals is also a Tory backer.",max,28.021808624267578
target,2,"The honourable Judy Sgro, who represents York West for the Liberals is also a Tory backer.",last,16.00179672241211
target,3,Bill C-33 will repeal those restrictions.,mean,12.825319290161133
target,3,Bill C-33 will repeal those restrictions.,max,29.574113845825195
target,3,Bill C-33 will repeal those restrictions.,last,9.692904472351074
target,4,She was assigned to Maritime Forces Atlantic (MARLANT) homeported at CFB Halifax.,mean,10.300215721130371
target,4,She was assigned to Maritime Forces Atlantic (MARLANT) homeported at CFB Halifax.,max,30.685787200927734
target,4,She was assigned to Maritime Forces Atlantic (MARLANT) homeported at CFB Halifax.,last,15.055230140686035
target,5,Former Calgary Health CEO Jack Davis is also appealing the release of his expenses to CBC News.,mean,8.90615177154541
target,5,Former Calgary Health CEO Jack Davis is also appealing the release of his expenses to CBC News.,max,20.044254302978516
target,5,Former Calgary Health CEO Jack Davis is also appealing the release of his expenses to CBC News.,last,14.912372589111328
target,6,Premier Rachel Notley has already stacked her inner circle with the best NDP brains in the country.,mean,10.232823371887207
target,6,Premier Rachel Notley has already stacked her inner circle with the best NDP brains in the country.,max,27.667648315429688
target,6,Premier Rachel Notley has already stacked her inner circle with the best NDP brains in the country.,last,7.054234504699707
target,7,"[3] Parliament responded to Parker by introducing the Marihuana Medical Access Regulations, SOR/2001-227, as amended (“MMAR”).",mean,9.880739212036133
target,7,"[3] Parliament responded to Parker by introducing the Marihuana Medical Access Regulations, SOR/2001-227, as amended (“MMAR”).",max,33.860740661621094
target,7,"[3] Parliament responded to Parker by introducing the Marihuana Medical Access Regulations, SOR/2001-227, as amended (“MMAR”).",last,11.944244384765625
target,8,CBC News reported Tuesday Harper is under pressure from Conservative senators to start filling up those empty seats.,mean,10.001490592956543
target,8,CBC News reported Tuesday Harper is under pressure from Conservative senators to start filling up those empty seats.,max,25.976215362548828
target,8,CBC News reported Tuesday Harper is under pressure from Conservative senators to start filling up those empty seats.,last,17.75641632080078
target,9,With a report from CTV Vancouver's Scott Hurst,mean,8.903858184814453
target,9,With a report from CTV Vancouver's Scott Hurst,max,26.301937103271484
target,9,With a report from CTV Vancouver's Scott Hurst,last,8.43618392944336
target,10,The Trudeau government is trying to abandon their promise to upgrade Canada’s voting system ahead of the 2019 election.,mean,10.361787796020508
target,10,The Trudeau government is trying to abandon their promise to upgrade Canada’s voting system ahead of the 2019 election.,max,28.092315673828125
target,10,The Trudeau government is trying to abandon their promise to upgrade Canada’s voting system ahead of the 2019 election.,last,8.846646308898926
target,11,Government of Canada test methods used.,mean,8.524911880493164
target,11,Government of Canada test methods used.,max,26.219968795776367
target,11,Government of Canada test methods used.,last,8.986464500427246
target,12,"With the Manitoba fires, and the addition of fires across the prairies and northern territories, many parts of Manitoba could see smoky conditions.",mean,7.947744369506836
target,12,"With the Manitoba fires, and the addition of fires across the prairies and northern territories, many parts of Manitoba could see smoky conditions.",max,24.998863220214844
target,12,"With the Manitoba fires, and the addition of fires across the prairies and northern territories, many parts of Manitoba could see smoky conditions.",last,10.533062934875488
target,13,"Tory MLA Ted Flemming, the Opposition's justice critic, said Smith’s letter shows the Liberals have to pull the legislative amendments.",mean,9.895586967468262
target,13,"Tory MLA Ted Flemming, the Opposition's justice critic, said Smith’s letter shows the Liberals have to pull the legislative amendments.",max,29.270544052124023
target,13,"Tory MLA Ted Flemming, the Opposition's justice critic, said Smith’s letter shows the Liberals have to pull the legislative amendments.",last,13.082151412963867
target,14,GUELPH — Cooperator's Hall at the River Run Centre was packed Thursday evening with supporters of Green Party leader Elizabeth May and local candidate Gord Miller.,mean,9.946940422058105
target,14,GUELPH — Cooperator's Hall at the River Run Centre was packed Thursday evening with supporters of Green Party leader Elizabeth May and local candidate Gord Miller.,max,18.644987106323242
target,14,GUELPH — Cooperator's Hall at the River Run Centre was packed Thursday evening with supporters of Green Party leader Elizabeth May and local candidate Gord Miller.,last,13.192975997924805
target,15,"Sources tell CBC Toronto the team had the alleged gunman under surveillance, but Halton police have never confirmed why.",mean,9.780179977416992
target,15,"Sources tell CBC Toronto the team had the alleged gunman under surveillance, but Halton police have never confirmed why.",max,27.522998809814453
