group,index,text,agg,val
target,0,Check her out!,mean,9.024157524108887
target,0,Check her out!,max,23.248065948486328
target,0,Check her out!,last,0.0
target,1,She does not.,mean,24.116546630859375
target,1,She does not.,max,44.5690803527832
target,1,She does not.,last,14.573495864868164
target,2,She too died.,mean,21.118757247924805
target,2,She too died.,max,44.5690803527832
target,2,She too died.,last,13.23483943939209
target,3,She looks concerned.,mean,23.11134147644043
target,3,She looks concerned.,max,44.5690803527832
target,3,She looks concerned.,last,20.99432945251465
target,4,She is cunning.,mean,16.24934196472168
target,4,She is cunning.,max,44.5690803527832
target,4,She is cunning.,last,11.972838401794434
target,5,Now she has indicated that she will support Trump.,mean,18.903179168701172
target,5,Now she has indicated that she will support Trump.,max,51.04710006713867
target,5,Now she has indicated that she will support Trump.,last,0.0
target,6,She started screaming.,mean,25.453407287597656
target,6,She started screaming.,max,44.5690803527832
target,6,She started screaming.,last,17.315204620361328
target,7,and she could not have been more right!,mean,15.306276321411133
target,7,and she could not have been more right!,max,60.14752960205078
target,7,and she could not have been more right!,last,0.0
target,8,she asked.,mean,21.02866554260254
target,8,she asked.,max,45.720394134521484
target,8,she asked.,last,0.0
target,9,she asked.,mean,21.02866554260254
target,9,she asked.,max,45.720394134521484
target,9,she asked.,last,0.0
target,10,And she’s Dutch.,mean,11.269330978393555
target,10,And she’s Dutch.,max,49.72128677368164
target,10,And she’s Dutch.,last,8.237122535705566
target,11,She screamed.,mean,21.964706420898438
target,11,She screamed.,max,44.5690803527832
target,11,She screamed.,last,17.435768127441406
target,12,She’s a marine biologist.,mean,11.694540023803711
target,12,She’s a marine biologist.,max,44.5690803527832
target,12,She’s a marine biologist.,last,10.279455184936523
target,13,She too turned around.,mean,26.5775146484375
target,13,She too turned around.,max,44.5690803527832
target,13,She too turned around.,last,25.653526306152344
target,14,“ She's everywhere and she's nowhere.,mean,12.873927116394043
target,14,“ She's everywhere and she's nowhere.,max,48.28354263305664
target,14,“ She's everywhere and she's nowhere.,last,9.983498573303223
target,15,She’s a fantastic teacher.,mean,13.158403396606445
target,15,She’s a fantastic teacher.,max,44.5690803527832
target,15,She’s a fantastic teacher.,last,7.4948201179504395
target,16,She was a teenage girl.,mean,12.296754837036133
target,16,She was a teenage girl.,max,44.5690803527832
target,16,She was a teenage girl.,last,15.336355209350586
target,17,She was not hurt.,mean,17.426502227783203
target,17,She was not hurt.,max,44.5690803527832
target,17,She was not hurt.,last,19.20130729675293
target,18,She refused.,mean,21.77704620361328
target,18,She refused.,max,44.5690803527832
target,18,She refused.,last,17.203144073486328
target,19,She could certainly have been a woman just like me.,mean,14.278305053710938
target,19,She could certainly have been a woman just like me.,max,44.67626190185547
target,19,She could certainly have been a woman just like me.,last,0.0
target,20,She shook her head.,mean,25.364822387695312
target,20,She shook her head.,max,46.647274017333984
target,20,She shook her head.,last,24.146381378173828
target,21,"She cried, smiling.",mean,25.18507194519043
target,21,"She cried, smiling.",max,44.5690803527832
target,21,"She cried, smiling.",last,18.837554931640625
target,22,She was done.,mean,18.238658905029297
target,22,She was done.,max,44.5690803527832
target,22,She was done.,last,15.705397605895996
target,23,Anna continued.,mean,15.505111694335938
target,23,Anna continued.,max,41.012908935546875
target,23,Anna continued.,last,21.007535934448242
target,24,Her fav.,mean,9.613107681274414
target,24,Her fav.,max,13.51018238067627
target,24,Her fav.,last,11.65500545501709
target,25,"But unfortunately she is in terrible fear.""",mean,14.775074005126953
target,25,"But unfortunately she is in terrible fear.""",max,44.65930938720703
target,25,"But unfortunately she is in terrible fear.""",last,0.0
target,26,She was not quite right.',mean,13.37258243560791
target,26,She was not quite right.',max,44.5690803527832
target,26,She was not quite right.',last,8.201441764831543
target,27,"She was untrained, destructive.",mean,16.964553833007812
target,27,"She was untrained, destructive.",max,44.5690803527832
target,27,"She was untrained, destructive.",last,14.792710304260254
target,28,Then she started drinking.,mean,18.294048309326172
target,28,Then she started drinking.,max,37.26220703125
target,28,Then she started drinking.,last,16.431842803955078
target,29,She was a reluctant scholar.,mean,12.286078453063965
target,29,She was a reluctant scholar.,max,44.5690803527832
target,29,She was a reluctant scholar.,last,14.546998977661133
target,30,"""She was a wild child.",mean,15.031644821166992
target,30,"""She was a wild child.",max,48.319026947021484
target,30,"""She was a wild child.",last,19.688640594482422
target,31,"“She has changed our lives,” she says.",mean,17.705514907836914
target,31,"“She has changed our lives,” she says.",max,46.576255798339844
target,31,"“She has changed our lives,” she says.",last,0.0
target,32,"“Oh, but she’s quite muddy,” Mrs.",mean,6.714799404144287
target,32,"“Oh, but she’s quite muddy,” Mrs.",max,44.523006439208984
target,32,"“Oh, but she’s quite muddy,” Mrs.",last,0.0
target,33,I think she would laugh.,mean,14.035136222839355
target,33,I think she would laugh.,max,40.501434326171875
target,33,I think she would laugh.,last,0.0
target,34,Her interpretation.,mean,11.806562423706055
target,34,Her interpretation.,max,18.82036018371582
target,34,Her interpretation.,last,14.895708084106445
target,35,And she still maintains her pride and hard headed nature.,mean,19.98232078552246
target,35,And she still maintains her pride and hard headed nature.,max,49.66205978393555
target,35,And she still maintains her pride and hard headed nature.,last,10.937950134277344
target,36,Becky is cute.,mean,4.681015968322754
target,36,Becky is cute.,max,14.19219970703125
target,36,Becky is cute.,last,13.893893241882324
target,37,"She's already here, sire.",mean,13.244572639465332
target,37,"She's already here, sire.",max,44.5690803527832
target,37,"She's already here, sire.",last,0.0
target,38,"Heather pauses and then adds, ""She's a wonderful nurse.""",mean,13.42718505859375
target,38,"Heather pauses and then adds, ""She's a wonderful nurse.""",max,44.71949768066406
target,38,"Heather pauses and then adds, ""She's a wonderful nurse.""",last,0.0
target,39,Vanessa!,mean,0.0
target,39,Vanessa!,max,0.0
target,39,Vanessa!,last,0.0
target,40,She couldn’t let herself get distracted.,mean,16.252777099609375
target,40,She couldn’t let herself get distracted.,max,44.5690803527832
target,40,She couldn’t let herself get distracted.,last,16.00554084777832
target,41,"""Elsa?",mean,0.0
target,41,"""Elsa?",max,0.0
target,41,"""Elsa?",last,0.0
target,42,She's trying to hold your hand!,mean,17.40005111694336
target,42,She's trying to hold your hand!,max,44.5690803527832
target,42,She's trying to hold your hand!,last,0.0
target,43,“And she sleeps with him.,mean,15.750267028808594
target,43,“And she sleeps with him.,max,47.771018981933594
target,43,“And she sleeps with him.,last,0.0
target,44,That’s her right.,mean,10.186362266540527
target,44,That’s her right.,max,30.47454071044922
target,44,That’s her right.,last,13.077547073364258
target,45,She wants a gun.,mean,17.840721130371094
target,45,She wants a gun.,max,44.5690803527832
target,45,She wants a gun.,last,10.214509963989258
target,46,She is more vocal with her scolding of Harold than her husband.,mean,16.210018157958984
target,46,She is more vocal with her scolding of Harold than her husband.,max,44.67626190185547
target,46,She is more vocal with her scolding of Harold than her husband.,last,0.0
target,47,“She talks about gun control.,mean,21.576356887817383
target,47,“She talks about gun control.,max,46.576255798339844
target,47,“She talks about gun control.,last,12.478044509887695
target,48,"She’s Laura (Johnson), a not especially pretty housewife.",mean,6.594022274017334
target,48,"She’s Laura (Johnson), a not especially pretty housewife.",max,44.67626190185547
target,48,"She’s Laura (Johnson), a not especially pretty housewife.",last,21.439411163330078
target,49,Anna slumped.,mean,12.090324401855469
target,49,Anna slumped.,max,31.69937515258789
target,49,Anna slumped.,last,28.752248764038086
target,50,She may even have a little bit more game than I do.,mean,17.082040786743164
target,50,She may even have a little bit more game than I do.,max,44.67626190185547
target,50,She may even have a little bit more game than I do.,last,0.0
target,51,"Whatever-she-is, she turned around and faced myself, tossing the tissues aside.",mean,18.14105987548828
target,51,"Whatever-she-is, she turned around and faced myself, tossing the tissues aside.",max,47.740943908691406
target,51,"Whatever-she-is, she turned around and faced myself, tossing the tissues aside.",last,24.122838973999023
target,52,She was just glad she wasn't in it.,mean,19.294540405273438
target,52,She was just glad she wasn't in it.,max,44.5690803527832
target,52,She was just glad she wasn't in it.,last,11.873499870300293
target,53,She didn't want their pity.,mean,14.586243629455566
target,53,She didn't want their pity.,max,44.5690803527832
target,53,She didn't want their pity.,last,0.0
target,54,Sara called from her room.,mean,17.008708953857422
target,54,Sara called from her room.,max,36.09232711791992
target,54,Sara called from her room.,last,23.11943817138672
target,55,"When she was 12 years old, her father gave it to her.'",mean,7.571923732757568
target,55,"When she was 12 years old, her father gave it to her.'",max,35.93667221069336
target,55,"When she was 12 years old, her father gave it to her.'",last,8.440918922424316
target,56,OL continues her pursuit.,mean,9.2926664352417
target,56,OL continues her pursuit.,max,21.794395446777344
target,56,OL continues her pursuit.,last,12.36528491973877
target,57,"She does not have Geneva's power but she has a good technique.""",mean,20.183130264282227
target,57,"She does not have Geneva's power but she has a good technique.""",max,44.67626190185547
target,57,"She does not have Geneva's power but she has a good technique.""",last,0.0
target,58,I wonder why Brittney still hates her guts?,mean,10.084541320800781
target,58,I wonder why Brittney still hates her guts?,max,35.053497314453125
target,58,I wonder why Brittney still hates her guts?,last,0.0
target,59,"""Tch... She didn't have to do that...",mean,14.33838176727295
target,59,"""Tch... She didn't have to do that...",max,50.71253204345703
target,59,"""Tch... She didn't have to do that...",last,10.417458534240723
target,60,She said she doesn't live like that.,mean,23.164716720581055
target,60,She said she doesn't live like that.,max,44.5690803527832
target,60,She said she doesn't live like that.,last,14.034991264343262
target,61,"Yet she had been with him alone, afterwards.",mean,14.589139938354492
target,61,"Yet she had been with him alone, afterwards.",max,46.362186431884766
target,61,"Yet she had been with him alone, afterwards.",last,0.0
