group,index,text,agg,val
target,0,Shri Parrikar was taken on a whirlwind tour of the massive complex spread across hundreds of acres of land and was briefed on the future expansion plans including the proposed naval air station and housing complex.,mean,35.36589813232422
target,0,Shri Parrikar was taken on a whirlwind tour of the massive complex spread across hundreds of acres of land and was briefed on the future expansion plans including the proposed naval air station and housing complex.,max,50.779296875
target,0,Shri Parrikar was taken on a whirlwind tour of the massive complex spread across hundreds of acres of land and was briefed on the future expansion plans including the proposed naval air station and housing complex.,last,47.8861083984375
target,1,"With the passage of stringent laws like Benami Act, the department needed this technological tool to make “sense” of the data that is with them.",mean,34.0828742980957
target,1,"With the passage of stringent laws like Benami Act, the department needed this technological tool to make “sense” of the data that is with them.",max,56.74161911010742
target,1,"With the passage of stringent laws like Benami Act, the department needed this technological tool to make “sense” of the data that is with them.",last,56.74161911010742
target,2,The clearance from the Home Ministry came during the second week of June and the review is likely to be started soon whereby Robert Vadra and many other VVIPs would be likely to lose the ‘no-frisking’ at the airports privilege very soon.,mean,36.90888977050781
target,2,The clearance from the Home Ministry came during the second week of June and the review is likely to be started soon whereby Robert Vadra and many other VVIPs would be likely to lose the ‘no-frisking’ at the airports privilege very soon.,max,59.96615982055664
target,2,The clearance from the Home Ministry came during the second week of June and the review is likely to be started soon whereby Robert Vadra and many other VVIPs would be likely to lose the ‘no-frisking’ at the airports privilege very soon.,last,50.148033142089844
target,3,But till date every bag made by the brand boasts of the same signature quality.,mean,24.515592575073242
target,3,But till date every bag made by the brand boasts of the same signature quality.,max,37.75109100341797
target,3,But till date every bag made by the brand boasts of the same signature quality.,last,33.87957763671875
target,4,Congress president Sonia Gandhi had flagged off these trucks fron New Delhi on Monday.,mean,36.16829299926758
target,4,Congress president Sonia Gandhi had flagged off these trucks fron New Delhi on Monday.,max,53.129966735839844
target,4,Congress president Sonia Gandhi had flagged off these trucks fron New Delhi on Monday.,last,48.96939468383789
target,5,CRPF personnel were also present.,mean,28.186092376708984
target,5,CRPF personnel were also present.,max,43.24360275268555
target,5,CRPF personnel were also present.,last,43.24360275268555
target,6,"Kejriwal also congratulated all the people present at the function and said, ""When we won in Delhi we thought there will be a full stop on the corruption, but despite being in government for five months we have to fight to curb it.""",mean,39.44702911376953
target,6,"Kejriwal also congratulated all the people present at the function and said, ""When we won in Delhi we thought there will be a full stop on the corruption, but despite being in government for five months we have to fight to curb it.""",max,53.10755920410156
target,6,"Kejriwal also congratulated all the people present at the function and said, ""When we won in Delhi we thought there will be a full stop on the corruption, but despite being in government for five months we have to fight to curb it.""",last,41.4832763671875
target,7,Sachin GIDC police had intimated the Income tax department officials to assist and interrogate all the four people.,mean,27.69828987121582
target,7,Sachin GIDC police had intimated the Income tax department officials to assist and interrogate all the four people.,max,45.870948791503906
target,7,Sachin GIDC police had intimated the Income tax department officials to assist and interrogate all the four people.,last,39.771484375
target,8,"The additional capacity will also help Intel India consolidate its R&D operations to a large extent at the SRR campus, the company said in a statement.“Karnataka has always been in the forefront when it comes to the IT industry, being the centre of investment, our Invest Karnataka initiative is proving its worth with such beneficial investments in the recent years.",mean,34.38446044921875
target,8,"The additional capacity will also help Intel India consolidate its R&D operations to a large extent at the SRR campus, the company said in a statement.“Karnataka has always been in the forefront when it comes to the IT industry, being the centre of investment, our Invest Karnataka initiative is proving its worth with such beneficial investments in the recent years.",max,51.56024169921875
target,8,"The additional capacity will also help Intel India consolidate its R&D operations to a large extent at the SRR campus, the company said in a statement.“Karnataka has always been in the forefront when it comes to the IT industry, being the centre of investment, our Invest Karnataka initiative is proving its worth with such beneficial investments in the recent years.",last,45.18634796142578
target,9,"The lead actor of the film Prabhas retweeted all the congratulatory messages which poured in, including from Anuskha Shetty, who also featured in the film.",mean,26.171701431274414
target,9,"The lead actor of the film Prabhas retweeted all the congratulatory messages which poured in, including from Anuskha Shetty, who also featured in the film.",max,49.39204788208008
target,9,"The lead actor of the film Prabhas retweeted all the congratulatory messages which poured in, including from Anuskha Shetty, who also featured in the film.",last,39.7319450378418
target,10,"Besides, the AAP's membership drive is not as vibrant as the media hype surrounding it.",mean,32.455909729003906
target,10,"Besides, the AAP's membership drive is not as vibrant as the media hype surrounding it.",max,55.157867431640625
target,10,"Besides, the AAP's membership drive is not as vibrant as the media hype surrounding it.",last,52.78910446166992
target,11,"jawans of the Indian Army and BSF in Gurez valley +

Spending time with our Forces gives me new energy.",mean,27.076244354248047
target,11,"jawans of the Indian Army and BSF in Gurez valley +

Spending time with our Forces gives me new energy.",max,43.52278137207031
target,11,"jawans of the Indian Army and BSF in Gurez valley +

Spending time with our Forces gives me new energy.",last,43.52278137207031
target,12,"According to Harish -an organiser- more than 50,000 people will join the protest, with 7000-odd people expected to join from Vijayawada alone.",mean,30.05683135986328
target,12,"According to Harish -an organiser- more than 50,000 people will join the protest, with 7000-odd people expected to join from Vijayawada alone.",max,46.00336837768555
target,12,"According to Harish -an organiser- more than 50,000 people will join the protest, with 7000-odd people expected to join from Vijayawada alone.",last,43.87318801879883
target,13,"Here CM Amarinder Singh, offsetting past reputation of vacillation, is working over time to address the grievances of the people who have thrown out the BJP-Akali combine in the recent Assembly polls.",mean,32.73080062866211
target,13,"Here CM Amarinder Singh, offsetting past reputation of vacillation, is working over time to address the grievances of the people who have thrown out the BJP-Akali combine in the recent Assembly polls.",max,49.941734313964844
target,13,"Here CM Amarinder Singh, offsetting past reputation of vacillation, is working over time to address the grievances of the people who have thrown out the BJP-Akali combine in the recent Assembly polls.",last,42.29508972167969
target,14,Maharashtra CM Devendra Fadnavis is likely to make a statement in the assembly.,mean,27.995344161987305
target,14,Maharashtra CM Devendra Fadnavis is likely to make a statement in the assembly.,max,48.697471618652344
target,14,Maharashtra CM Devendra Fadnavis is likely to make a statement in the assembly.,last,48.641075134277344
target,15,"The National Commission for Women has decided to take suo motu cognisance of the allegations of Bollywood actress Preity Zinta against her former boyfriend and businessman Ness Wadia, and will conduct a detailed investigation into the case.",mean,33.21951675415039
target,15,"The National Commission for Women has decided to take suo motu cognisance of the allegations of Bollywood actress Preity Zinta against her former boyfriend and businessman Ness Wadia, and will conduct a detailed investigation into the case.",max,56.79233169555664
target,15,"The National Commission for Women has decided to take suo motu cognisance of the allegations of Bollywood actress Preity Zinta against her former boyfriend and businessman Ness Wadia, and will conduct a detailed investigation into the case.",last,44.57159423828125
target,16,"The film has been received well in AP, thanks to no big releases in the state.",mean,27.783489227294922
target,16,"The film has been received well in AP, thanks to no big releases in the state.",max,46.841033935546875
target,16,"The film has been received well in AP, thanks to no big releases in the state.",last,33.2535285949707
target,17,"Also Read: Art of Living’s Yamuna event: NGT panel says rehabilitation to cost Rs42 crore

“The AOL had obtained all the necessary permission including the NGT’s.",mean,33.1279296875
target,17,"Also Read: Art of Living’s Yamuna event: NGT panel says rehabilitation to cost Rs42 crore

“The AOL had obtained all the necessary permission including the NGT’s.",max,58.780906677246094
target,17,"Also Read: Art of Living’s Yamuna event: NGT panel says rehabilitation to cost Rs42 crore

“The AOL had obtained all the necessary permission including the NGT’s.",last,46.92481994628906
target,18,"NEW DELHI: Accusing Pakistan of fomenting trouble in India, home minister Sushilkumar Shinde said it was helping terrorists to infiltrate into the country.",mean,31.0194091796875
target,18,"NEW DELHI: Accusing Pakistan of fomenting trouble in India, home minister Sushilkumar Shinde said it was helping terrorists to infiltrate into the country.",max,58.691749572753906
target,18,"NEW DELHI: Accusing Pakistan of fomenting trouble in India, home minister Sushilkumar Shinde said it was helping terrorists to infiltrate into the country.",last,45.64777374267578
target,19,"education

New Delhi, Nov 28 (PTI) The Leader of Opposition in the Delhi Assembly, Vijender Gupta, today demanded that the AAP government presented a ""white paper"" on the status of school education in the national capital, saying that its data pointed towards various shortcomings in it.",mean,34.60578155517578
target,19,"education

New Delhi, Nov 28 (PTI) The Leader of Opposition in the Delhi Assembly, Vijender Gupta, today demanded that the AAP government presented a ""white paper"" on the status of school education in the national capital, saying that its data pointed towards various shortcomings in it.",max,54.43897247314453
target,19,"education

New Delhi, Nov 28 (PTI) The Leader of Opposition in the Delhi Assembly, Vijender Gupta, today demanded that the AAP government presented a ""white paper"" on the status of school education in the national capital, saying that its data pointed towards various shortcomings in it.",last,38.46755599975586
target,20,"In each institution with the help of the Skill Development Ministry, we will provide an environment such that after college a youth will secure a job, or some assurance for his own Start-Up.",mean,26.212661743164062
target,20,"In each institution with the help of the Skill Development Ministry, we will provide an environment such that after college a youth will secure a job, or some assurance for his own Start-Up.",max,43.66488265991211
target,20,"In each institution with the help of the Skill Development Ministry, we will provide an environment such that after college a youth will secure a job, or some assurance for his own Start-Up.",last,43.66488265991211
target,21,The plea had alleged that the Tamil Nadu ministers were bargaining with the central government for presidential assent for their proposed ordinance to exempt the Tamil Nadu students from NEET as a “quid pro quo for supporting the NDA candidates for the Presidential and Vice Presidential polls.,mean,35.22096633911133
target,21,The plea had alleged that the Tamil Nadu ministers were bargaining with the central government for presidential assent for their proposed ordinance to exempt the Tamil Nadu students from NEET as a “quid pro quo for supporting the NDA candidates for the Presidential and Vice Presidential polls.,max,53.09661102294922
target,21,The plea had alleged that the Tamil Nadu ministers were bargaining with the central government for presidential assent for their proposed ordinance to exempt the Tamil Nadu students from NEET as a “quid pro quo for supporting the NDA candidates for the Presidential and Vice Presidential polls.,last,48.427772521972656
target,22,"Read: Aadhaar payment: Forget debit and credit cards, now pay bills with your thumb

First Published: Mar 08, 2017 21:41 IST",mean,24.317617416381836
target,22,"Read: Aadhaar payment: Forget debit and credit cards, now pay bills with your thumb

First Published: Mar 08, 2017 21:41 IST",max,55.5115852355957
target,22,"Read: Aadhaar payment: Forget debit and credit cards, now pay bills with your thumb

First Published: Mar 08, 2017 21:41 IST",last,14.276467323303223
target,23,"(As Karnataka places cooking gas subsidies under the ration card programme, unlike many other states, we had a bigger net.)",mean,38.07647705078125
target,23,"(As Karnataka places cooking gas subsidies under the ration card programme, unlike many other states, we had a bigger net.)",max,54.51042175292969
target,23,"(As Karnataka places cooking gas subsidies under the ration card programme, unlike many other states, we had a bigger net.)",last,44.706180572509766
target,24,"Advertising

Kejriwal also noted that there are a lot of good individuals in the bureaucracy, but despite that, governance has not improved.",mean,37.5927848815918
target,24,"Advertising

Kejriwal also noted that there are a lot of good individuals in the bureaucracy, but despite that, governance has not improved.",max,57.088111877441406
target,24,"Advertising

Kejriwal also noted that there are a lot of good individuals in the bureaucracy, but despite that, governance has not improved.",last,48.97035217285156
target,25,A committee headed by Revenue Secretary Hasmukh Adhia met exporters on Tuesday to look into the worries of the sector and assured faster relief.,mean,30.524810791015625
target,25,A committee headed by Revenue Secretary Hasmukh Adhia met exporters on Tuesday to look into the worries of the sector and assured faster relief.,max,53.24178695678711
