group,index,text,agg,val
target,0,"It was reported that she had gone for changing of clothes and immediately she noticed that there was one hole in the room and beyond the hole one camera was hanging, so immediately came and complained.",mean,0.0
target,0,"It was reported that she had gone for changing of clothes and immediately she noticed that there was one hole in the room and beyond the hole one camera was hanging, so immediately came and complained.",max,0.0
target,0,"It was reported that she had gone for changing of clothes and immediately she noticed that there was one hole in the room and beyond the hole one camera was hanging, so immediately came and complained.",last,0.0
target,1,"“’Nugget’ Miller never wore a cap on his head, so I didn’t.",mean,0.0
target,1,"“’Nugget’ Miller never wore a cap on his head, so I didn’t.",max,0.0
target,1,"“’Nugget’ Miller never wore a cap on his head, so I didn’t.",last,0.0
target,2,So he had this emotional attachment to that album and was a massive fan and he basically came backstage to tell us all this.,mean,3.576533794403076
target,2,So he had this emotional attachment to that album and was a massive fan and he basically came backstage to tell us all this.,max,19.854167938232422
target,2,So he had this emotional attachment to that album and was a massive fan and he basically came backstage to tell us all this.,last,0.0
target,3,"It also would have redistributed financial assistance, so that people with lower incomes and higher insurance costs would get less than they do today ― even as more affluent people would qualify for substantial new subsidies.",mean,0.0
target,3,"It also would have redistributed financial assistance, so that people with lower incomes and higher insurance costs would get less than they do today ― even as more affluent people would qualify for substantial new subsidies.",max,0.0
target,3,"It also would have redistributed financial assistance, so that people with lower incomes and higher insurance costs would get less than they do today ― even as more affluent people would qualify for substantial new subsidies.",last,0.0
target,4,"Deep learning is not a different thing, its just a cool body of work that’s yielding state of the art results for lots of important problems, and so people are rightly availing themselves of it.",mean,0.0
target,4,"Deep learning is not a different thing, its just a cool body of work that’s yielding state of the art results for lots of important problems, and so people are rightly availing themselves of it.",max,0.0
target,4,"Deep learning is not a different thing, its just a cool body of work that’s yielding state of the art results for lots of important problems, and so people are rightly availing themselves of it.",last,0.0
target,5,"So here we have all the elements of a classic police state falling into place: universal surveillance, the infiltration and disruption of dissident movements, and a 24/7 government propaganda machine aimed at the citizenry.",mean,1.1562261581420898
target,5,"So here we have all the elements of a classic police state falling into place: universal surveillance, the infiltration and disruption of dissident movements, and a 24/7 government propaganda machine aimed at the citizenry.",max,16.850919723510742
target,5,"So here we have all the elements of a classic police state falling into place: universal surveillance, the infiltration and disruption of dissident movements, and a 24/7 government propaganda machine aimed at the citizenry.",last,0.0
target,6,"So whether you always take your kids to Pride, or you’re considering taking them for the first time, this is the year to come out (pun intended!)",mean,1.5110481977462769
target,6,"So whether you always take your kids to Pride, or you’re considering taking them for the first time, this is the year to come out (pun intended!)",max,15.749787330627441
target,6,"So whether you always take your kids to Pride, or you’re considering taking them for the first time, this is the year to come out (pun intended!)",last,0.0
target,7,"But Bork could never disavow Brown - and so his opponents had a field day tying him in intellectual knots.” Add to that Borks “more mundane problems”: on TV, “he came across as smug and contemptuous - in a word, injudicious,” and it only got worse as his nomination floundered.",mean,0.0
target,7,"But Bork could never disavow Brown - and so his opponents had a field day tying him in intellectual knots.” Add to that Borks “more mundane problems”: on TV, “he came across as smug and contemptuous - in a word, injudicious,” and it only got worse as his nomination floundered.",max,0.0
target,7,"But Bork could never disavow Brown - and so his opponents had a field day tying him in intellectual knots.” Add to that Borks “more mundane problems”: on TV, “he came across as smug and contemptuous - in a word, injudicious,” and it only got worse as his nomination floundered.",last,0.0
target,8,"But a little adversity hit, so we'll see what we're made of.""",mean,2.1715362071990967
target,8,"But a little adversity hit, so we'll see what we're made of.""",max,9.065662384033203
target,8,"But a little adversity hit, so we'll see what we're made of.""",last,0.0
target,9,"An onlooker commented, ""in the middle of the night these people camping opposite us heard a noise, so they got their torch out and shone it on the pig and there he was, scrunching away at their cans.",mean,0.0
target,9,"An onlooker commented, ""in the middle of the night these people camping opposite us heard a noise, so they got their torch out and shone it on the pig and there he was, scrunching away at their cans.",max,0.0
target,9,"An onlooker commented, ""in the middle of the night these people camping opposite us heard a noise, so they got their torch out and shone it on the pig and there he was, scrunching away at their cans.",last,0.0
target,10,So why don’t people adopt?,mean,4.009533405303955
target,10,So why don’t people adopt?,max,11.067398071289062
target,10,So why don’t people adopt?,last,0.0
target,11,"California license plate ""2GAT123"" from Beverly Hills Cop II, Training Day, Kiss Kiss Bang Bang, Role Models,Traffic, Mulholland Dr., Curb Your Enthusiasm, and many, many other movies

California no longer issues license plates in the ""GAT"" series, so movie productions keep using the plate because it's not tied to an actual identity or car.",mean,0.0
target,11,"California license plate ""2GAT123"" from Beverly Hills Cop II, Training Day, Kiss Kiss Bang Bang, Role Models,Traffic, Mulholland Dr., Curb Your Enthusiasm, and many, many other movies

California no longer issues license plates in the ""GAT"" series, so movie productions keep using the plate because it's not tied to an actual identity or car.",max,0.0
target,11,"California license plate ""2GAT123"" from Beverly Hills Cop II, Training Day, Kiss Kiss Bang Bang, Role Models,Traffic, Mulholland Dr., Curb Your Enthusiasm, and many, many other movies

California no longer issues license plates in the ""GAT"" series, so movie productions keep using the plate because it's not tied to an actual identity or car.",last,0.0
target,12,"So the first step of this strategy, while still helpful to attracting Catholic voters, is no longer the vote-producer it once was.",mean,3.7145514488220215
target,12,"So the first step of this strategy, while still helpful to attracting Catholic voters, is no longer the vote-producer it once was.",max,22.065317153930664
target,12,"So the first step of this strategy, while still helpful to attracting Catholic voters, is no longer the vote-producer it once was.",last,0.0
target,13,"While the FCC launched an ""informal inquiry"" back in January to examine the anti-competitive impact of such behavior, there has been no word since on any notable policy decisions from the agency, so we asked for an update.",mean,0.0
target,13,"While the FCC launched an ""informal inquiry"" back in January to examine the anti-competitive impact of such behavior, there has been no word since on any notable policy decisions from the agency, so we asked for an update.",max,0.0
target,13,"While the FCC launched an ""informal inquiry"" back in January to examine the anti-competitive impact of such behavior, there has been no word since on any notable policy decisions from the agency, so we asked for an update.",last,0.0
target,14,"We have an epidemic of people complaining about the lack of goals instead of ever being impressed by what goaltenders can do today, so let’s make sure the All-Star game is all about offence.",mean,0.0
target,14,"We have an epidemic of people complaining about the lack of goals instead of ever being impressed by what goaltenders can do today, so let’s make sure the All-Star game is all about offence.",max,0.0
target,14,"We have an epidemic of people complaining about the lack of goals instead of ever being impressed by what goaltenders can do today, so let’s make sure the All-Star game is all about offence.",last,0.0
target,15,"and i just went in too (spa was kinda small for us to fit in) so we were swimming, we were swimming back and forth, and all of sudden Kal stops in the middle of a pool(3 meters depth) and started struggling himself, at one point we thought he was fking around but as the time goes by we're like wtf , is he actually serious?",mean,0.3986222743988037
target,15,"and i just went in too (spa was kinda small for us to fit in) so we were swimming, we were swimming back and forth, and all of sudden Kal stops in the middle of a pool(3 meters depth) and started struggling himself, at one point we thought he was fking around but as the time goes by we're like wtf , is he actually serious?",max,12.122091293334961
target,15,"and i just went in too (spa was kinda small for us to fit in) so we were swimming, we were swimming back and forth, and all of sudden Kal stops in the middle of a pool(3 meters depth) and started struggling himself, at one point we thought he was fking around but as the time goes by we're like wtf , is he actually serious?",last,0.0
target,16,"""We wanted to do a class that was similar to the Soldier but we felt like we wanted to level him up and make him even more badass than the original Soldier, so we created the Commando,"" said Jeramy Cooke, art director on Borderlands 2.",mean,0.0
target,16,"""We wanted to do a class that was similar to the Soldier but we felt like we wanted to level him up and make him even more badass than the original Soldier, so we created the Commando,"" said Jeramy Cooke, art director on Borderlands 2.",max,0.0
target,16,"""We wanted to do a class that was similar to the Soldier but we felt like we wanted to level him up and make him even more badass than the original Soldier, so we created the Commando,"" said Jeramy Cooke, art director on Borderlands 2.",last,0.0
target,17,"So, BlackBerry Messenger  better known to the ""youth"" as BBM  is coming to Android and iOS.",mean,2.870511293411255
target,17,"So, BlackBerry Messenger  better known to the ""youth"" as BBM  is coming to Android and iOS.",max,22.374347686767578
target,17,"So, BlackBerry Messenger  better known to the ""youth"" as BBM  is coming to Android and iOS.",last,0.0
target,18,"Nihilists are bad, and so anonymous posters are also bad – that is the association you’re supposed to make.",mean,0.0
target,18,"Nihilists are bad, and so anonymous posters are also bad – that is the association you’re supposed to make.",max,0.0
target,18,"Nihilists are bad, and so anonymous posters are also bad – that is the association you’re supposed to make.",last,0.0
target,19,"Like every superhero here, she already exists in the world—so no origin story is needed.",mean,0.0
target,19,"Like every superhero here, she already exists in the world—so no origin story is needed.",max,0.0
target,19,"Like every superhero here, she already exists in the world—so no origin story is needed.",last,0.0
target,20,"So, it is not just its religious significance, but a strong constitutional backing too that offers cow, the coveted more than equal status among animals.",mean,3.7930428981781006
target,20,"So, it is not just its religious significance, but a strong constitutional backing too that offers cow, the coveted more than equal status among animals.",max,21.794281005859375
target,20,"So, it is not just its religious significance, but a strong constitutional backing too that offers cow, the coveted more than equal status among animals.",last,0.0
target,21,"Several games that Epic Games were involved with at the time featured a futuristic setting, these range from Unreal Warfare, Unreal 2 and the working title, Unreal Tournament 2, so these screenshots could in essence show any one of these.",mean,0.0
target,21,"Several games that Epic Games were involved with at the time featured a futuristic setting, these range from Unreal Warfare, Unreal 2 and the working title, Unreal Tournament 2, so these screenshots could in essence show any one of these.",max,0.0
target,21,"Several games that Epic Games were involved with at the time featured a futuristic setting, these range from Unreal Warfare, Unreal 2 and the working title, Unreal Tournament 2, so these screenshots could in essence show any one of these.",last,0.0
target,22,"So now I’m doing it again, because you aren’t helping at all and I’m trying to help what I can for Freeze Don’t Shoot.",mean,2.389163017272949
target,22,"So now I’m doing it again, because you aren’t helping at all and I’m trying to help what I can for Freeze Don’t Shoot.",max,14.388484954833984
target,22,"So now I’m doing it again, because you aren’t helping at all and I’m trying to help what I can for Freeze Don’t Shoot.",last,0.0
target,23,"So imagine that the editors of this mighty, astonishing newspaper were summoned to Downing Street and told to hand it all over.",mean,2.7623579502105713
target,23,"So imagine that the editors of this mighty, astonishing newspaper were summoned to Downing Street and told to hand it all over.",max,27.214752197265625
