family_id,display_name,category,benchmark_priority,experiment_id,method_label,core_method,feature_id,certainty,common_semantic,source_path
animals_pets,Animals / Pets,society_and_culture,high,idea1-dense-success,dense,dense,12374,0.95,"All sentences relate to dogs, pets, or domestic animals, covering topics such as pet ownership, animal care, human-animal relationships, veterinary concerns, and pet behavior",/Users/yanyuming/Downloads/GitHub/Thesis/exp/idea1-dense-success/output/l22/output/parsed_responses.yaml
animals_pets,Animals / Pets,society_and_culture,high,idea11-dense-kernel,idea11-dense-kernel,,33921,1.0,"All sentences focus on domestic animals (primarily dogs) and various aspects of pet care, animal welfare, rescue, adoption, and human-animal relationships",/Users/yanyuming/Downloads/GitHub/Thesis/exp/idea11-dense-kernel/output/l22/output/parsed_responses.yaml
animals_pets,Animals / Pets,society_and_culture,high,idea11-kernel-active,idea11-kernel-active,,19503,0.95,"All sentences relate to domestic animals, particularly dogs, covering topics such as pet ownership, animal care, veterinary medicine, animal rescue and shelters, pet behavior, and animal welfare",/Users/yanyuming/Downloads/GitHub/Thesis/exp/idea11-kernel-active/output/l22/output/parsed_responses.yaml
animals_pets,Animals / Pets,society_and_culture,high,idea11-kernel-pressure-scan,idea11-kernel-pressure-scan,,7970,0.98,"All sentences relate to animals, particularly domestic pets (dogs, cats, and other companion animals), covering themes of animal care, rescue, adoption, veterinary health, human-animal relationships, and pet welfare",/Users/yanyuming/Downloads/GitHub/Thesis/exp/idea11-kernel-pressure-scan/output/l22/output/parsed_responses.yaml
animals_pets,Animals / Pets,society_and_culture,high,idea11-kernel-warmup,idea11-kernel-warmup,,40360,0.98,"All sentences contain references to domesticated animals (primarily dogs, cats, and other pets) in contexts related to pet ownership, animal care, rescue, veterinary treatment, or human-animal relationships",/Users/yanyuming/Downloads/GitHub/Thesis/exp/idea11-kernel-warmup/output/l22/output/parsed_responses.yaml
animals_pets,Animals / Pets,society_and_culture,high,idea5-kernel,kernel,kernel,3713,1.0,"All sentences focus on domestic animals and pets, covering topics such as pet ownership, animal care, veterinary services, animal shelters, rescue operations, and human-animal relationships",/Users/yanyuming/Downloads/GitHub/Thesis/exp/idea5-kernel/output/l22/output/parsed_responses.yaml
animals_pets,Animals / Pets,society_and_culture,high,idea6-imq,idea6-imq,,3713,1.0,"All sentences contain references to animals or pets, either discussing actual animals (dogs, cats, chinchillas, etc.) and pet-related topics like ownership, care, rescue, veterinary treatment, or using animal terms metaphorically",/Users/yanyuming/Downloads/GitHub/Thesis/exp/idea6-imq/output/l22/output/parsed_responses.yaml
aviation_aerospace,Aviation / Aerospace,technology_and_science,high,baseline/BatchTopK,batchtopk,batchtopk,61606,1.0,"All sentences relate to aviation, aircraft, or flying, covering topics such as specific aircraft types, flight operations, aviation safety and crashes, pilot training, military and civilian aviation, and aviation industry regulations and history.",/Users/yanyuming/Downloads/GitHub/Thesis/exp/baseline/BatchTopK/output/l22/output/parsed_responses.yaml
aviation_aerospace,Aviation / Aerospace,technology_and_science,high,baseline/main,topk,topk,19230,1.0,"All sentences relate to space exploration, aerospace technology, and space missions, including spacecraft development, astronaut activities, mission planning, rocket launches, planetary exploration, and space agency operations",/Users/yanyuming/Downloads/GitHub/Thesis/exp/baseline/main/output/l22/output/parsed_responses.yaml
aviation_aerospace,Aviation / Aerospace,technology_and_science,high,baseline/relusae,relu,relu,19230,1.0,"All sentences relate to space exploration, aerospace technology, space missions, or the space industry, including topics such as spacecraft, astronauts, space agencies, planetary exploration, satellites, and launch operations",/Users/yanyuming/Downloads/GitHub/Thesis/exp/baseline/relusae/output/l22/output/parsed_responses.yaml
