group,index,text,agg,val
target,0,"Prime Minister Stephen Harper answers a question during question period in the House of Commons in Ottawa on Wednesday, Feb. 18, 2015.",mean,39.26414108276367
target,0,"Prime Minister Stephen Harper answers a question during question period in the House of Commons in Ottawa on Wednesday, Feb. 18, 2015.",max,82.61802673339844
target,0,"Prime Minister Stephen Harper answers a question during question period in the House of Commons in Ottawa on Wednesday, Feb. 18, 2015.",last,68.10082244873047
target,1,With a report from CTV Kitchener and files from The Canadian Press,mean,34.70296859741211
target,1,With a report from CTV Kitchener and files from The Canadian Press,max,82.89514923095703
target,1,With a report from CTV Kitchener and files from The Canadian Press,last,57.58816909790039
target,2,"The honourable Judy Sgro, who represents York West for the Liberals is also a Tory backer.",mean,39.55377960205078
target,2,"The honourable Judy Sgro, who represents York West for the Liberals is also a Tory backer.",max,84.03118896484375
target,2,"The honourable Judy Sgro, who represents York West for the Liberals is also a Tory backer.",last,61.86487579345703
target,3,Bill C-33 will repeal those restrictions.,mean,38.578922271728516
target,3,Bill C-33 will repeal those restrictions.,max,71.56305694580078
target,3,Bill C-33 will repeal those restrictions.,last,66.73159790039062
target,4,She was assigned to Maritime Forces Atlantic (MARLANT) homeported at CFB Halifax.,mean,27.550994873046875
target,4,She was assigned to Maritime Forces Atlantic (MARLANT) homeported at CFB Halifax.,max,59.86321258544922
target,4,She was assigned to Maritime Forces Atlantic (MARLANT) homeported at CFB Halifax.,last,42.881195068359375
target,5,Former Calgary Health CEO Jack Davis is also appealing the release of his expenses to CBC News.,mean,43.08259201049805
target,5,Former Calgary Health CEO Jack Davis is also appealing the release of his expenses to CBC News.,max,70.765380859375
target,5,Former Calgary Health CEO Jack Davis is also appealing the release of his expenses to CBC News.,last,70.765380859375
target,6,Premier Rachel Notley has already stacked her inner circle with the best NDP brains in the country.,mean,36.472469329833984
target,6,Premier Rachel Notley has already stacked her inner circle with the best NDP brains in the country.,max,66.24899291992188
target,6,Premier Rachel Notley has already stacked her inner circle with the best NDP brains in the country.,last,66.24899291992188
target,7,"[3] Parliament responded to Parker by introducing the Marihuana Medical Access Regulations, SOR/2001-227, as amended (“MMAR”).",mean,22.186241149902344
target,7,"[3] Parliament responded to Parker by introducing the Marihuana Medical Access Regulations, SOR/2001-227, as amended (“MMAR”).",max,59.520164489746094
target,7,"[3] Parliament responded to Parker by introducing the Marihuana Medical Access Regulations, SOR/2001-227, as amended (“MMAR”).",last,51.248226165771484
target,8,CBC News reported Tuesday Harper is under pressure from Conservative senators to start filling up those empty seats.,mean,43.80292892456055
target,8,CBC News reported Tuesday Harper is under pressure from Conservative senators to start filling up those empty seats.,max,79.49940490722656
target,8,CBC News reported Tuesday Harper is under pressure from Conservative senators to start filling up those empty seats.,last,79.49940490722656
target,9,With a report from CTV Vancouver's Scott Hurst,mean,20.661380767822266
target,9,With a report from CTV Vancouver's Scott Hurst,max,54.48072814941406
target,9,With a report from CTV Vancouver's Scott Hurst,last,41.868385314941406
target,10,The Trudeau government is trying to abandon their promise to upgrade Canada’s voting system ahead of the 2019 election.,mean,46.26679229736328
target,10,The Trudeau government is trying to abandon their promise to upgrade Canada’s voting system ahead of the 2019 election.,max,84.54165649414062
target,10,The Trudeau government is trying to abandon their promise to upgrade Canada’s voting system ahead of the 2019 election.,last,72.86189270019531
target,11,Government of Canada test methods used.,mean,24.170978546142578
target,11,Government of Canada test methods used.,max,61.269100189208984
target,11,Government of Canada test methods used.,last,27.038387298583984
target,12,"With the Manitoba fires, and the addition of fires across the prairies and northern territories, many parts of Manitoba could see smoky conditions.",mean,34.449440002441406
target,12,"With the Manitoba fires, and the addition of fires across the prairies and northern territories, many parts of Manitoba could see smoky conditions.",max,67.60963439941406
target,12,"With the Manitoba fires, and the addition of fires across the prairies and northern territories, many parts of Manitoba could see smoky conditions.",last,67.60963439941406
target,13,"Tory MLA Ted Flemming, the Opposition's justice critic, said Smith’s letter shows the Liberals have to pull the legislative amendments.",mean,41.35505676269531
target,13,"Tory MLA Ted Flemming, the Opposition's justice critic, said Smith’s letter shows the Liberals have to pull the legislative amendments.",max,77.26104736328125
target,13,"Tory MLA Ted Flemming, the Opposition's justice critic, said Smith’s letter shows the Liberals have to pull the legislative amendments.",last,74.96427917480469
target,14,GUELPH — Cooperator's Hall at the River Run Centre was packed Thursday evening with supporters of Green Party leader Elizabeth May and local candidate Gord Miller.,mean,41.63690948486328
target,14,GUELPH — Cooperator's Hall at the River Run Centre was packed Thursday evening with supporters of Green Party leader Elizabeth May and local candidate Gord Miller.,max,81.4110336303711
target,14,GUELPH — Cooperator's Hall at the River Run Centre was packed Thursday evening with supporters of Green Party leader Elizabeth May and local candidate Gord Miller.,last,54.08140563964844
target,15,"Sources tell CBC Toronto the team had the alleged gunman under surveillance, but Halton police have never confirmed why.",mean,32.1277961730957
target,15,"Sources tell CBC Toronto the team had the alleged gunman under surveillance, but Halton police have never confirmed why.",max,81.82929229736328
target,15,"Sources tell CBC Toronto the team had the alleged gunman under surveillance, but Halton police have never confirmed why.",last,81.82929229736328
target,16,"National voter support for the NDP, Conservatives and Liberals from January to August of 2015.",mean,36.83207321166992
target,16,"National voter support for the NDP, Conservatives and Liberals from January to August of 2015.",max,73.94744873046875
target,16,"National voter support for the NDP, Conservatives and Liberals from January to August of 2015.",last,58.26657485961914
