experiment_id,method_label,core_method,feature_id,certainty,matched_families,common_semantic,source_path
baseline/BatchTopK,batchtopk,batchtopk,22878,0.98,nfl_football;higher_education_campus,"All sentences relate to college football, discussing teams, players, coaches, recruiting, games, rankings, and competitive aspects of NCAA Division I football programs",/Users/yanyuming/Downloads/GitHub/Thesis/exp/baseline/BatchTopK/output/l22/output/parsed_responses.yaml
baseline/gatedsae,gatedsae,gatedsae,44844,1.0,gaming_general;tabletop_gaming,"All sentences discuss video game mechanics, strategies, character abilities, or gameplay systems across various gaming genres including MOBAs, RPGs, card games, and action games, using technical gaming terminology and numerical game data",/Users/yanyuming/Downloads/GitHub/Thesis/exp/baseline/gatedsae/output/l22/output/parsed_responses.yaml
baseline/jumprelu,jumprelu,jumprelu,59003,1.0,mlb_baseball;nfl_football;nba_basketball,"Professional sports analysis and commentary discussing team strategies, player performance evaluations, roster decisions, and organizational management across NFL, MLB, and NBA",/Users/yanyuming/Downloads/GitHub/Thesis/exp/baseline/jumprelu/output/l22/output/parsed_responses.yaml
baseline/relusae,relu,relu,1557,0.98,middle_east_geopolitics;judaism_jewish,"All sentences relate to Jewish people, Jewish culture, Jewish religion, Israel, or Jewish-related topics, including religious practices, Israeli society and politics, Jewish history, identity, community, and intellectual movements",/Users/yanyuming/Downloads/GitHub/Thesis/exp/baseline/relusae/output/l22/output/parsed_responses.yaml
idea1-dense-success,dense,dense,14756,1.0,nfl_football;higher_education_campus,"All sentences are about American college football, discussing teams, games, seasons, coaching, recruiting, rankings, and competitive performance analysis",/Users/yanyuming/Downloads/GitHub/Thesis/exp/idea1-dense-success/output/l22/output/parsed_responses.yaml
idea1-dense-success,dense,dense,31516,0.98,christianity;spirituality_new_age,"All sentences discuss religious or spiritual topics, with the vast majority specifically focused on Christianity, covering themes of faith, worship, religious practice, spiritual growth, church life, and relationship with God",/Users/yanyuming/Downloads/GitHub/Thesis/exp/idea1-dense-success/output/l22/output/parsed_responses.yaml
idea1-dense-success,dense,dense,62704,1.0,gaming_general;tabletop_gaming,"All sentences relate to tabletop role-playing games and gaming, containing specialized gaming terminology, mechanics, rules discussions, character references, and gaming industry/publishing context",/Users/yanyuming/Downloads/GitHub/Thesis/exp/idea1-dense-success/output/l22/output/parsed_responses.yaml
idea10-kernel-repreg,idea10-kernel-repreg,,27594,0.98,gaming_general;tabletop_gaming,"All sentences describe video game, card game, or tabletop game mechanics, including combat systems, character abilities, statistical values, and strategic gameplay elements",/Users/yanyuming/Downloads/GitHub/Thesis/exp/idea10-kernel-repreg/output/l22/output/parsed_responses.yaml
idea11-dense-kernel,idea11-dense-kernel,,2570,0.94,gaming_general;tabletop_gaming,"Tabletop gaming and role-playing game content, including game mechanics, character creation, rules, publishing, and gaming industry discussions",/Users/yanyuming/Downloads/GitHub/Thesis/exp/idea11-dense-kernel/output/l22/output/parsed_responses.yaml
idea11-dense-kernel,idea11-dense-kernel,,8689,0.98,nfl_football;higher_education_campus,"All sentences discuss college athletics, primarily focusing on college football programs, teams, coaches, games, recruiting, and related institutional aspects of university sports",/Users/yanyuming/Downloads/GitHub/Thesis/exp/idea11-dense-kernel/output/l22/output/parsed_responses.yaml
idea11-dense-kernel,idea11-dense-kernel,,61401,0.92,christianity;spirituality_new_age,"Religious and spiritual discourse, predominantly focused on Christian faith, spirituality, and religious practices",/Users/yanyuming/Downloads/GitHub/Thesis/exp/idea11-dense-kernel/output/l22/output/parsed_responses.yaml
idea11-kernel-active,idea11-kernel-active,,8689,1.0,nfl_football;higher_education_campus,"College athletics and sports, primarily college football, including team performance, conference competition, coaching decisions, recruiting, playoff systems, and business aspects of collegiate sports programs",/Users/yanyuming/Downloads/GitHub/Thesis/exp/idea11-kernel-active/output/l22/output/parsed_responses.yaml
idea11-kernel-active,idea11-kernel-active,,37125,0.96,christianity;spirituality_new_age,"All sentences relate to Christian faith, religious practices, church life, or theological discussions, containing explicit religious terminology, references to Christian beliefs, church operations, spiritual experiences, or religious figures and institutions",/Users/yanyuming/Downloads/GitHub/Thesis/exp/idea11-kernel-active/output/l22/output/parsed_responses.yaml
idea11-kernel-pressure-scan,idea11-kernel-pressure-scan,,8689,1.0,nfl_football;nba_basketball;higher_education_campus,"All sentences relate to college sports, specifically college football and basketball, discussing teams, conferences, games, coaching, rankings, and competitive analysis",/Users/yanyuming/Downloads/GitHub/Thesis/exp/idea11-kernel-pressure-scan/output/l22/output/parsed_responses.yaml
idea11-kernel-pressure-scan,idea11-kernel-pressure-scan,,61401,0.95,christianity;spirituality_new_age,"All sentences relate to Christian religious themes, including faith, spirituality, church life, biblical interpretation, theological concepts, and Christian identity and practice",/Users/yanyuming/Downloads/GitHub/Thesis/exp/idea11-kernel-pressure-scan/output/l22/output/parsed_responses.yaml
idea11-kernel-pressure-scan-2e-4,idea11-kernel-pressure-scan-2e-4,,61401,0.94,christianity;spirituality_new_age,"Christian religious discourse and spiritual themes, including discussions of faith, God, Biblical references, church life, spiritual practices, and theological concepts",/Users/yanyuming/Downloads/GitHub/Thesis/exp/idea11-kernel-pressure-scan-2e-4/output/l22/output/parsed_responses.yaml
idea11-kernel-warmup,idea11-kernel-warmup,,8689,1.0,nfl_football;nba_basketball;higher_education_campus,"All sentences relate to college sports, specifically focusing on college football and basketball programs, including team performance, coaching changes, conference affiliations, recruiting, rankings, bowl games, and athletic administration within the NCAA system",/Users/yanyuming/Downloads/GitHub/Thesis/exp/idea11-kernel-warmup/output/l22/output/parsed_responses.yaml
idea11-kernel-warmup,idea11-kernel-warmup,,22542,1.0,soccer;higher_education_campus,"All sentences relate to soccer (football) in the North American context, including Major League Soccer (MLS), US and Canadian national teams, college soccer, lower division leagues, player transfers, match reports, and tournament coverage",/Users/yanyuming/Downloads/GitHub/Thesis/exp/idea11-kernel-warmup/output/l22/output/parsed_responses.yaml
idea11-kernel-warmup,idea11-kernel-warmup,,27891,0.98,christianity;spirituality_new_age,"All sentences relate to Christianity, Christian faith, or religious discourse, including discussions of God, Jesus, church life, biblical interpretation, theological concepts, and personal spiritual experiences",/Users/yanyuming/Downloads/GitHub/Thesis/exp/idea11-kernel-warmup/output/l22/output/parsed_responses.yaml
idea2-residual-success,idea2-residual-success,,6267,0.95,gaming_general;entertainment_screen_media,"All sentences are plot summaries or narrative descriptions of entertainment media (movies, TV shows, books, video games), written in a synopsis style that describes storylines, character situations, and dramatic developments",/Users/yanyuming/Downloads/GitHub/Thesis/exp/idea2-residual-success/output/l22/output/parsed_responses.yaml
idea3-lejepa,idea3-lejepa,,8790,0.96,middle_east_geopolitics;judaism_jewish,"Jewish culture, religion, identity, and related topics including Israel, Judaism, Jewish communities, religious practices, and Jewish social/political issues",/Users/yanyuming/Downloads/GitHub/Thesis/exp/idea3-lejepa/output/l22/output/parsed_responses.yaml
idea3-lejepa,idea3-lejepa,,37968,1.0,nba_basketball;higher_education_campus,"All sentences relate to college athletics, specifically discussing college sports teams, coaches, players, games, conferences, recruiting, and athletic program activities across various sports including football and basketball",/Users/yanyuming/Downloads/GitHub/Thesis/exp/idea3-lejepa/output/l22/output/parsed_responses.yaml
idea4-lejepa-leech,idea4-lejepa-leech,,37968,1.0,nba_basketball;higher_education_campus,"All sentences relate to collegiate athletics, specifically covering topics such as recruiting, coaching, team performance, conference competition, NCAA regulations, and various aspects of college sports programs (primarily football and basketball)",/Users/yanyuming/Downloads/GitHub/Thesis/exp/idea4-lejepa-leech/output/l22/output/parsed_responses.yaml
idea6-imq_025_d,idea6-imq_025_d,,1031,0.96,us_electoral_politics;law_enforcement_crime,"All sentences are about Donald Trump, covering various aspects of his presidency, political campaigns, business dealings, legal investigations, personal characteristics, and administrative actions",/Users/yanyuming/Downloads/GitHub/Thesis/exp/idea6-imq_025_d/output/l22/output/parsed_responses.yaml
idea6-imq_025_d,idea6-imq_025_d,,16499,0.95,christianity;spirituality_new_age,"All sentences relate to Christian religious discourse, including discussions of faith, church practices, evangelical culture, theological concepts, spiritual experiences, and critiques of Christian behavior and institutions",/Users/yanyuming/Downloads/GitHub/Thesis/exp/idea6-imq_025_d/output/l22/output/parsed_responses.yaml
idea6-imq_4_d,idea6-imq_4_d,,16499,0.92,christianity;spirituality_new_age,"All sentences discuss aspects of Christian religious life, including faith practices, church communities, biblical interpretation, theological concepts, and personal spiritual experiences",/Users/yanyuming/Downloads/GitHub/Thesis/exp/idea6-imq_4_d/output/l22/output/parsed_responses.yaml
idea6-imq_4_d,idea6-imq_4_d,,37968,0.98,nba_basketball;higher_education_campus,"College athletics and university sports programs, encompassing football, basketball, and other collegiate sports including recruiting, coaching, conference play, rankings, and athletic administration",/Users/yanyuming/Downloads/GitHub/Thesis/exp/idea6-imq_4_d/output/l22/output/parsed_responses.yaml
idea7-imq-repreg,idea7-imq-repreg,,37968,0.98,nba_basketball;higher_education_campus,"All sentences relate to college athletics and sports, covering topics such as team performance, player statistics, coaching records, recruiting, conference competitions, NCAA regulations, and various collegiate sports programs including football, basketball, and other sports",/Users/yanyuming/Downloads/GitHub/Thesis/exp/idea7-imq-repreg/output/l22/output/parsed_responses.yaml
idea8-dense-imq,idea8-dense-imq,,8689,1.0,nfl_football;nba_basketball;higher_education_campus,"All sentences discuss college athletics, specifically focusing on college football and basketball teams, including game results, coaching decisions, player performance, conference competition, rankings, and institutional athletic program analysis",/Users/yanyuming/Downloads/GitHub/Thesis/exp/idea8-dense-imq/output/l22/output/parsed_responses.yaml
idea8-dense-imq,idea8-dense-imq,,17087,0.9,christianity;spirituality_new_age,"Christian faith, spirituality, and religious experience - including personal faith journeys, relationship with God, Christian identity and community, biblical references, and spiritual growth and transformation",/Users/yanyuming/Downloads/GitHub/Thesis/exp/idea8-dense-imq/output/l22/output/parsed_responses.yaml
idea9-dense-repreg,idea9-dense-repreg,,61401,0.92,christianity;spirituality_new_age,"Religious and Christian spiritual content, including theological discussions, personal faith testimonies, biblical references, and Christian living guidance",/Users/yanyuming/Downloads/GitHub/Thesis/exp/idea9-dense-repreg/output/l22/output/parsed_responses.yaml
