group,index,text,agg,val
target,0,"Prime Minister Stephen Harper answers a question during question period in the House of Commons in Ottawa on Wednesday, Feb. 18, 2015.",mean,39.580055236816406
target,0,"Prime Minister Stephen Harper answers a question during question period in the House of Commons in Ottawa on Wednesday, Feb. 18, 2015.",max,82.10147094726562
target,0,"Prime Minister Stephen Harper answers a question during question period in the House of Commons in Ottawa on Wednesday, Feb. 18, 2015.",last,68.92877960205078
target,1,With a report from CTV Kitchener and files from The Canadian Press,mean,34.89503479003906
target,1,With a report from CTV Kitchener and files from The Canadian Press,max,82.6745376586914
target,1,With a report from CTV Kitchener and files from The Canadian Press,last,57.321617126464844
target,2,"The honourable Judy Sgro, who represents York West for the Liberals is also a Tory backer.",mean,39.262603759765625
target,2,"The honourable Judy Sgro, who represents York West for the Liberals is also a Tory backer.",max,83.13291931152344
target,2,"The honourable Judy Sgro, who represents York West for the Liberals is also a Tory backer.",last,61.37281036376953
target,3,Bill C-33 will repeal those restrictions.,mean,38.15871810913086
target,3,Bill C-33 will repeal those restrictions.,max,70.2760238647461
target,3,Bill C-33 will repeal those restrictions.,last,66.07696533203125
target,4,She was assigned to Maritime Forces Atlantic (MARLANT) homeported at CFB Halifax.,mean,27.446075439453125
target,4,She was assigned to Maritime Forces Atlantic (MARLANT) homeported at CFB Halifax.,max,59.57135009765625
target,4,She was assigned to Maritime Forces Atlantic (MARLANT) homeported at CFB Halifax.,last,42.40125274658203
target,5,Former Calgary Health CEO Jack Davis is also appealing the release of his expenses to CBC News.,mean,42.471153259277344
target,5,Former Calgary Health CEO Jack Davis is also appealing the release of his expenses to CBC News.,max,70.98699188232422
target,5,Former Calgary Health CEO Jack Davis is also appealing the release of his expenses to CBC News.,last,70.98699188232422
target,6,Premier Rachel Notley has already stacked her inner circle with the best NDP brains in the country.,mean,35.727970123291016
target,6,Premier Rachel Notley has already stacked her inner circle with the best NDP brains in the country.,max,65.3670654296875
target,6,Premier Rachel Notley has already stacked her inner circle with the best NDP brains in the country.,last,65.3670654296875
target,7,"[3] Parliament responded to Parker by introducing the Marihuana Medical Access Regulations, SOR/2001-227, as amended (“MMAR”).",mean,22.25747299194336
target,7,"[3] Parliament responded to Parker by introducing the Marihuana Medical Access Regulations, SOR/2001-227, as amended (“MMAR”).",max,59.86688232421875
target,7,"[3] Parliament responded to Parker by introducing the Marihuana Medical Access Regulations, SOR/2001-227, as amended (“MMAR”).",last,50.928077697753906
target,8,CBC News reported Tuesday Harper is under pressure from Conservative senators to start filling up those empty seats.,mean,43.252681732177734
target,8,CBC News reported Tuesday Harper is under pressure from Conservative senators to start filling up those empty seats.,max,79.20848083496094
target,8,CBC News reported Tuesday Harper is under pressure from Conservative senators to start filling up those empty seats.,last,79.20848083496094
target,9,With a report from CTV Vancouver's Scott Hurst,mean,20.84487533569336
target,9,With a report from CTV Vancouver's Scott Hurst,max,54.88256072998047
target,9,With a report from CTV Vancouver's Scott Hurst,last,41.74103546142578
target,10,The Trudeau government is trying to abandon their promise to upgrade Canada’s voting system ahead of the 2019 election.,mean,46.02564239501953
target,10,The Trudeau government is trying to abandon their promise to upgrade Canada’s voting system ahead of the 2019 election.,max,83.3277816772461
target,10,The Trudeau government is trying to abandon their promise to upgrade Canada’s voting system ahead of the 2019 election.,last,72.24913024902344
target,11,Government of Canada test methods used.,mean,23.968170166015625
target,11,Government of Canada test methods used.,max,60.92242431640625
target,11,Government of Canada test methods used.,last,27.248302459716797
target,12,"With the Manitoba fires, and the addition of fires across the prairies and northern territories, many parts of Manitoba could see smoky conditions.",mean,33.8289794921875
target,12,"With the Manitoba fires, and the addition of fires across the prairies and northern territories, many parts of Manitoba could see smoky conditions.",max,67.28456115722656
target,12,"With the Manitoba fires, and the addition of fires across the prairies and northern territories, many parts of Manitoba could see smoky conditions.",last,67.28456115722656
target,13,"Tory MLA Ted Flemming, the Opposition's justice critic, said Smith’s letter shows the Liberals have to pull the legislative amendments.",mean,41.0285758972168
target,13,"Tory MLA Ted Flemming, the Opposition's justice critic, said Smith’s letter shows the Liberals have to pull the legislative amendments.",max,76.46634674072266
target,13,"Tory MLA Ted Flemming, the Opposition's justice critic, said Smith’s letter shows the Liberals have to pull the legislative amendments.",last,75.49321746826172
target,14,GUELPH — Cooperator's Hall at the River Run Centre was packed Thursday evening with supporters of Green Party leader Elizabeth May and local candidate Gord Miller.,mean,41.57161331176758
target,14,GUELPH — Cooperator's Hall at the River Run Centre was packed Thursday evening with supporters of Green Party leader Elizabeth May and local candidate Gord Miller.,max,80.81803131103516
target,14,GUELPH — Cooperator's Hall at the River Run Centre was packed Thursday evening with supporters of Green Party leader Elizabeth May and local candidate Gord Miller.,last,53.80082702636719
target,15,"Sources tell CBC Toronto the team had the alleged gunman under surveillance, but Halton police have never confirmed why.",mean,31.87458038330078
target,15,"Sources tell CBC Toronto the team had the alleged gunman under surveillance, but Halton police have never confirmed why.",max,81.61566925048828
target,15,"Sources tell CBC Toronto the team had the alleged gunman under surveillance, but Halton police have never confirmed why.",last,81.61566925048828
target,16,"National voter support for the NDP, Conservatives and Liberals from January to August of 2015.",mean,36.580501556396484
target,16,"National voter support for the NDP, Conservatives and Liberals from January to August of 2015.",max,73.69535827636719
target,16,"National voter support for the NDP, Conservatives and Liberals from January to August of 2015.",last,58.474334716796875
target,17,Federal Finance Minister Bill Morneau said the intent is to have all taxes included within that price.,mean,37.99256134033203
target,17,Federal Finance Minister Bill Morneau said the intent is to have all taxes included within that price.,max,73.50804901123047
target,17,Federal Finance Minister Bill Morneau said the intent is to have all taxes included within that price.,last,71.10110473632812
target,18,"NDP Leader Thomas Mulcair has waded into the TPP debate during the campaign, pledging an NDP government would fight for stronger rules in the Trans-Pacific Partnership accord to protect homegrown manufacturing.",mean,37.42715835571289
target,18,"NDP Leader Thomas Mulcair has waded into the TPP debate during the campaign, pledging an NDP government would fight for stronger rules in the Trans-Pacific Partnership accord to protect homegrown manufacturing.",max,82.38375854492188
