group,index,text,agg,val
target,0,"Prime Minister Stephen Harper answers a question during question period in the House of Commons in Ottawa on Wednesday, Feb. 18, 2015.",mean,35.0937614440918
target,0,"Prime Minister Stephen Harper answers a question during question period in the House of Commons in Ottawa on Wednesday, Feb. 18, 2015.",max,70.79237365722656
target,0,"Prime Minister Stephen Harper answers a question during question period in the House of Commons in Ottawa on Wednesday, Feb. 18, 2015.",last,54.95960998535156
target,1,With a report from CTV Kitchener and files from The Canadian Press,mean,24.035985946655273
target,1,With a report from CTV Kitchener and files from The Canadian Press,max,58.43313980102539
target,1,With a report from CTV Kitchener and files from The Canadian Press,last,58.43313980102539
target,2,Former Calgary Health CEO Jack Davis is also appealing the release of his expenses to CBC News.,mean,18.795364379882812
target,2,Former Calgary Health CEO Jack Davis is also appealing the release of his expenses to CBC News.,max,47.19549560546875
target,2,Former Calgary Health CEO Jack Davis is also appealing the release of his expenses to CBC News.,last,31.97800064086914
target,3,"With the Manitoba fires, and the addition of fires across the prairies and northern territories, many parts of Manitoba could see smoky conditions.",mean,16.268962860107422
target,3,"With the Manitoba fires, and the addition of fires across the prairies and northern territories, many parts of Manitoba could see smoky conditions.",max,45.8321647644043
target,3,"With the Manitoba fires, and the addition of fires across the prairies and northern territories, many parts of Manitoba could see smoky conditions.",last,20.431198120117188
target,4,Premier Rachel Notley has already stacked her inner circle with the best NDP brains in the country.,mean,20.647098541259766
target,4,Premier Rachel Notley has already stacked her inner circle with the best NDP brains in the country.,max,53.34651184082031
target,4,Premier Rachel Notley has already stacked her inner circle with the best NDP brains in the country.,last,17.93776512145996
target,5,The Trudeau government is trying to abandon their promise to upgrade Canada’s voting system ahead of the 2019 election.,mean,21.637832641601562
target,5,The Trudeau government is trying to abandon their promise to upgrade Canada’s voting system ahead of the 2019 election.,max,56.353233337402344
target,5,The Trudeau government is trying to abandon their promise to upgrade Canada’s voting system ahead of the 2019 election.,last,18.445446014404297
target,6,"Tory MLA Ted Flemming, the Opposition's justice critic, said Smith’s letter shows the Liberals have to pull the legislative amendments.",mean,21.44380760192871
target,6,"Tory MLA Ted Flemming, the Opposition's justice critic, said Smith’s letter shows the Liberals have to pull the legislative amendments.",max,52.68258285522461
target,6,"Tory MLA Ted Flemming, the Opposition's justice critic, said Smith’s letter shows the Liberals have to pull the legislative amendments.",last,25.92361068725586
target,7,"[3] Parliament responded to Parker by introducing the Marihuana Medical Access Regulations, SOR/2001-227, as amended (“MMAR”).",mean,17.647933959960938
target,7,"[3] Parliament responded to Parker by introducing the Marihuana Medical Access Regulations, SOR/2001-227, as amended (“MMAR”).",max,60.88002395629883
target,7,"[3] Parliament responded to Parker by introducing the Marihuana Medical Access Regulations, SOR/2001-227, as amended (“MMAR”).",last,24.12806510925293
target,8,"Sources tell CBC Toronto the team had the alleged gunman under surveillance, but Halton police have never confirmed why.",mean,19.17240333557129
target,8,"Sources tell CBC Toronto the team had the alleged gunman under surveillance, but Halton police have never confirmed why.",max,59.520652770996094
target,8,"Sources tell CBC Toronto the team had the alleged gunman under surveillance, but Halton police have never confirmed why.",last,35.78447723388672
target,9,"National voter support for the NDP, Conservatives and Liberals from January to August of 2015.",mean,16.161048889160156
target,9,"National voter support for the NDP, Conservatives and Liberals from January to August of 2015.",max,41.087013244628906
target,9,"National voter support for the NDP, Conservatives and Liberals from January to August of 2015.",last,19.070974349975586
target,10,"NDP Leader Thomas Mulcair has waded into the TPP debate during the campaign, pledging an NDP government would fight for stronger rules in the Trans-Pacific Partnership accord to protect homegrown manufacturing.",mean,14.803525924682617
target,10,"NDP Leader Thomas Mulcair has waded into the TPP debate during the campaign, pledging an NDP government would fight for stronger rules in the Trans-Pacific Partnership accord to protect homegrown manufacturing.",max,50.63372039794922
target,10,"NDP Leader Thomas Mulcair has waded into the TPP debate during the campaign, pledging an NDP government would fight for stronger rules in the Trans-Pacific Partnership accord to protect homegrown manufacturing.",last,39.078399658203125
target,11,Mélanie Meloche-Holubowski is a journalist intern at EvidenceNetwork.ca and a journalist with Radio-Canada.,mean,16.38629913330078
target,11,Mélanie Meloche-Holubowski is a journalist intern at EvidenceNetwork.ca and a journalist with Radio-Canada.,max,50.086822509765625
target,11,Mélanie Meloche-Holubowski is a journalist intern at EvidenceNetwork.ca and a journalist with Radio-Canada.,last,35.80836486816406
target,12,Federal Finance Minister Bill Morneau said the intent is to have all taxes included within that price.,mean,18.878402709960938
target,12,Federal Finance Minister Bill Morneau said the intent is to have all taxes included within that price.,max,54.176368713378906
target,12,Federal Finance Minister Bill Morneau said the intent is to have all taxes included within that price.,last,23.03820037841797
target,13,"In a piece published in the Ottawa Citizen last week, he wrote that the Prime Minister “is pro-war.",mean,14.177157402038574
target,13,"In a piece published in the Ottawa Citizen last week, he wrote that the Prime Minister “is pro-war.",max,58.917335510253906
target,13,"In a piece published in the Ottawa Citizen last week, he wrote that the Prime Minister “is pro-war.",last,0.0
target,14,Newfoundland and Labrador currently ties with New Brunswick for the lowest minimum wage in Canada ($11.00 per hour).,mean,15.690557479858398
target,14,Newfoundland and Labrador currently ties with New Brunswick for the lowest minimum wage in Canada ($11.00 per hour).,max,44.912353515625
target,14,Newfoundland and Labrador currently ties with New Brunswick for the lowest minimum wage in Canada ($11.00 per hour).,last,22.852619171142578
target,15,"NDP Leader Dominic Cardy, meanwhile, failed to win his Fredericton-area seat and has resigned.",mean,21.360559463500977
target,15,"NDP Leader Dominic Cardy, meanwhile, failed to win his Fredericton-area seat and has resigned.",max,46.30781936645508
target,15,"NDP Leader Dominic Cardy, meanwhile, failed to win his Fredericton-area seat and has resigned.",last,32.35770797729492
target,16,Industry sources tell CBC News they believe cabinet could decide this week which way to go — perhaps as soon as tomorrow.,mean,16.068809509277344
target,16,Industry sources tell CBC News they believe cabinet could decide this week which way to go — perhaps as soon as tomorrow.,max,56.293033599853516
target,16,Industry sources tell CBC News they believe cabinet could decide this week which way to go — perhaps as soon as tomorrow.,last,19.9468994140625
target,17,"That said, while Health Canada approves medical devices, regulating their use is a provincial responsibility, said Ms. Meerburg.",mean,15.949742317199707
target,17,"That said, while Health Canada approves medical devices, regulating their use is a provincial responsibility, said Ms. Meerburg.",max,53.06934356689453
target,17,"That said, while Health Canada approves medical devices, regulating their use is a provincial responsibility, said Ms. Meerburg.",last,37.91454315185547
target,18,"(Robert Short/CBC)

Just after 8 a.m., police in Halifax were called to another report of a suspicious package in the area of the old Spring Garden Road Memorial Library, at 5381 Spring Garden Rd.",mean,15.206439018249512
target,18,"(Robert Short/CBC)

Just after 8 a.m., police in Halifax were called to another report of a suspicious package in the area of the old Spring Garden Road Memorial Library, at 5381 Spring Garden Rd.",max,59.15135192871094
target,18,"(Robert Short/CBC)

Just after 8 a.m., police in Halifax were called to another report of a suspicious package in the area of the old Spring Garden Road Memorial Library, at 5381 Spring Garden Rd.",last,17.182418823242188
target,19,"In Melville, Sask., 145 km north east of Regina, families also receive a season ticket for each player they host.",mean,15.079721450805664
target,19,"In Melville, Sask., 145 km north east of Regina, families also receive a season ticket for each player they host.",max,72.4869613647461
target,19,"In Melville, Sask., 145 km north east of Regina, families also receive a season ticket for each player they host.",last,26.068674087524414
target,20,Girl Guides of Canada and MADD Canada were among the charities whose expenses didn’t add up to the total.,mean,17.56305694580078
target,20,Girl Guides of Canada and MADD Canada were among the charities whose expenses didn’t add up to the total.,max,52.25621795654297
target,20,Girl Guides of Canada and MADD Canada were among the charities whose expenses didn’t add up to the total.,last,19.675338745117188
target,21,Drouin joins pole vaulter Shawn Barber as Canadians to win gold at the Beijing world championships.,mean,12.276531219482422
target,21,Drouin joins pole vaulter Shawn Barber as Canadians to win gold at the Beijing world championships.,max,47.47017288208008
target,21,Drouin joins pole vaulter Shawn Barber as Canadians to win gold at the Beijing world championships.,last,31.94074821472168
target,22,"Mr. Trudeau was speaking at a news conference to mark the start of the summer recess of Parliament, where he touched on a wide number of topics such as the state of the economy, Indigenous affairs and the future of Canadian peacekeeping.",mean,17.918516159057617
target,22,"Mr. Trudeau was speaking at a news conference to mark the start of the summer recess of Parliament, where he touched on a wide number of topics such as the state of the economy, Indigenous affairs and the future of Canadian peacekeeping.",max,48.67506790161133
target,22,"Mr. Trudeau was speaking at a news conference to mark the start of the summer recess of Parliament, where he touched on a wide number of topics such as the state of the economy, Indigenous affairs and the future of Canadian peacekeeping.",last,33.31702423095703
target,23,"In his last go-around as Canadian Tire CEO, Mr. Wetmore – a New Brunswick native and former CEO of Bell Aliant – spearheaded the acquisition of sports retailer Forzani Group Ltd., whose banners include Sport Chek, and streamlined administrative functions at head office.",mean,15.617549896240234
target,23,"In his last go-around as Canadian Tire CEO, Mr. Wetmore – a New Brunswick native and former CEO of Bell Aliant – spearheaded the acquisition of sports retailer Forzani Group Ltd., whose banners include Sport Chek, and streamlined administrative functions at head office.",max,49.96288299560547
target,23,"In his last go-around as Canadian Tire CEO, Mr. Wetmore – a New Brunswick native and former CEO of Bell Aliant – spearheaded the acquisition of sports retailer Forzani Group Ltd., whose banners include Sport Chek, and streamlined administrative functions at head office.",last,33.30875015258789
target,24,"He said he has had long conversations with former Veterans Affairs Minister Erin O’Toole, but hasn’t heard much from the new federal government.",mean,14.294169425964355
target,24,"He said he has had long conversations with former Veterans Affairs Minister Erin O’Toole, but hasn’t heard much from the new federal government.",max,55.13019943237305
