group,index,text,agg,val
target,0,"Besides, the AAP's membership drive is not as vibrant as the media hype surrounding it.",mean,23.264944076538086
target,0,"Besides, the AAP's membership drive is not as vibrant as the media hype surrounding it.",max,55.139469146728516
target,0,"Besides, the AAP's membership drive is not as vibrant as the media hype surrounding it.",last,35.85535430908203
target,1,Shri Parrikar was taken on a whirlwind tour of the massive complex spread across hundreds of acres of land and was briefed on the future expansion plans including the proposed naval air station and housing complex.,mean,26.778175354003906
target,1,Shri Parrikar was taken on a whirlwind tour of the massive complex spread across hundreds of acres of land and was briefed on the future expansion plans including the proposed naval air station and housing complex.,max,47.08235549926758
target,1,Shri Parrikar was taken on a whirlwind tour of the massive complex spread across hundreds of acres of land and was briefed on the future expansion plans including the proposed naval air station and housing complex.,last,34.02424621582031
target,2,But till date every bag made by the brand boasts of the same signature quality.,mean,28.750659942626953
target,2,But till date every bag made by the brand boasts of the same signature quality.,max,55.758182525634766
target,2,But till date every bag made by the brand boasts of the same signature quality.,last,43.576263427734375
target,3,CRPF personnel were also present.,mean,19.527708053588867
target,3,CRPF personnel were also present.,max,33.807125091552734
target,3,CRPF personnel were also present.,last,28.133522033691406
target,4,BANGALORE: Here’s some bad news for adventure buffs from Bangalore.,mean,26.193693161010742
target,4,BANGALORE: Here’s some bad news for adventure buffs from Bangalore.,max,45.223777770996094
target,4,BANGALORE: Here’s some bad news for adventure buffs from Bangalore.,last,45.223777770996094
target,5,Congress president Sonia Gandhi had flagged off these trucks fron New Delhi on Monday.,mean,22.876384735107422
target,5,Congress president Sonia Gandhi had flagged off these trucks fron New Delhi on Monday.,max,40.958946228027344
target,5,Congress president Sonia Gandhi had flagged off these trucks fron New Delhi on Monday.,last,29.85072135925293
target,6,"However, the CBI's idea to give a break in National Insurance contributions of newly hired youngsters is a welcome start.",mean,24.208507537841797
target,6,"However, the CBI's idea to give a break in National Insurance contributions of newly hired youngsters is a welcome start.",max,50.14838409423828
target,6,"However, the CBI's idea to give a break in National Insurance contributions of newly hired youngsters is a welcome start.",last,46.027225494384766
target,7,"jawans of the Indian Army and BSF in Gurez valley +

Spending time with our Forces gives me new energy.",mean,22.090232849121094
target,7,"jawans of the Indian Army and BSF in Gurez valley +

Spending time with our Forces gives me new energy.",max,38.380226135253906
target,7,"jawans of the Indian Army and BSF in Gurez valley +

Spending time with our Forces gives me new energy.",last,28.629104614257812
target,8,"The additional capacity will also help Intel India consolidate its R&D operations to a large extent at the SRR campus, the company said in a statement.“Karnataka has always been in the forefront when it comes to the IT industry, being the centre of investment, our Invest Karnataka initiative is proving its worth with such beneficial investments in the recent years.",mean,24.55533790588379
target,8,"The additional capacity will also help Intel India consolidate its R&D operations to a large extent at the SRR campus, the company said in a statement.“Karnataka has always been in the forefront when it comes to the IT industry, being the centre of investment, our Invest Karnataka initiative is proving its worth with such beneficial investments in the recent years.",max,44.89997863769531
target,8,"The additional capacity will also help Intel India consolidate its R&D operations to a large extent at the SRR campus, the company said in a statement.“Karnataka has always been in the forefront when it comes to the IT industry, being the centre of investment, our Invest Karnataka initiative is proving its worth with such beneficial investments in the recent years.",last,12.30183219909668
target,9,The bench passed the order despite counsel for Dr. Sen seeking adjournment of the matter.,mean,21.143085479736328
target,9,The bench passed the order despite counsel for Dr. Sen seeking adjournment of the matter.,max,39.57352066040039
target,9,The bench passed the order despite counsel for Dr. Sen seeking adjournment of the matter.,last,21.156951904296875
target,10,Sachin GIDC police had intimated the Income tax department officials to assist and interrogate all the four people.,mean,22.503414154052734
target,10,Sachin GIDC police had intimated the Income tax department officials to assist and interrogate all the four people.,max,39.244720458984375
target,10,Sachin GIDC police had intimated the Income tax department officials to assist and interrogate all the four people.,last,33.503013610839844
target,11,"Here CM Amarinder Singh, offsetting past reputation of vacillation, is working over time to address the grievances of the people who have thrown out the BJP-Akali combine in the recent Assembly polls.",mean,21.301530838012695
target,11,"Here CM Amarinder Singh, offsetting past reputation of vacillation, is working over time to address the grievances of the people who have thrown out the BJP-Akali combine in the recent Assembly polls.",max,36.04790496826172
target,11,"Here CM Amarinder Singh, offsetting past reputation of vacillation, is working over time to address the grievances of the people who have thrown out the BJP-Akali combine in the recent Assembly polls.",last,30.76679801940918
target,12,"Read: Aadhaar payment: Forget debit and credit cards, now pay bills with your thumb

First Published: Mar 08, 2017 21:41 IST",mean,20.834745407104492
target,12,"Read: Aadhaar payment: Forget debit and credit cards, now pay bills with your thumb

First Published: Mar 08, 2017 21:41 IST",max,43.31489562988281
target,12,"Read: Aadhaar payment: Forget debit and credit cards, now pay bills with your thumb

First Published: Mar 08, 2017 21:41 IST",last,20.863035202026367
target,13,"(As Karnataka places cooking gas subsidies under the ration card programme, unlike many other states, we had a bigger net.)",mean,21.019113540649414
target,13,"(As Karnataka places cooking gas subsidies under the ration card programme, unlike many other states, we had a bigger net.)",max,40.697349548339844
target,13,"(As Karnataka places cooking gas subsidies under the ration card programme, unlike many other states, we had a bigger net.)",last,23.011844635009766
target,14,"Also Read: Art of Living’s Yamuna event: NGT panel says rehabilitation to cost Rs42 crore

“The AOL had obtained all the necessary permission including the NGT’s.",mean,20.680788040161133
target,14,"Also Read: Art of Living’s Yamuna event: NGT panel says rehabilitation to cost Rs42 crore

“The AOL had obtained all the necessary permission including the NGT’s.",max,39.23255920410156
target,14,"Also Read: Art of Living’s Yamuna event: NGT panel says rehabilitation to cost Rs42 crore

“The AOL had obtained all the necessary permission including the NGT’s.",last,21.623748779296875
target,15,"The film has been received well in AP, thanks to no big releases in the state.",mean,22.05070686340332
target,15,"The film has been received well in AP, thanks to no big releases in the state.",max,38.12419128417969
target,15,"The film has been received well in AP, thanks to no big releases in the state.",last,30.869949340820312
target,16,Naidu's shifting positions have created confusion in the minds of voters about the TDP's real position.,mean,22.46170997619629
target,16,Naidu's shifting positions have created confusion in the minds of voters about the TDP's real position.,max,41.39093017578125
target,16,Naidu's shifting positions have created confusion in the minds of voters about the TDP's real position.,last,24.183317184448242
target,17,A committee headed by Revenue Secretary Hasmukh Adhia met exporters on Tuesday to look into the worries of the sector and assured faster relief.,mean,22.158058166503906
target,17,A committee headed by Revenue Secretary Hasmukh Adhia met exporters on Tuesday to look into the worries of the sector and assured faster relief.,max,44.29863357543945
target,17,A committee headed by Revenue Secretary Hasmukh Adhia met exporters on Tuesday to look into the worries of the sector and assured faster relief.,last,41.35484313964844
target,18,The Aam Aadmi Party (AAP) came back to power in Delhi in February 2015.,mean,23.224903106689453
target,18,The Aam Aadmi Party (AAP) came back to power in Delhi in February 2015.,max,49.30478286743164
target,18,The Aam Aadmi Party (AAP) came back to power in Delhi in February 2015.,last,27.184234619140625
target,19,"While Modi was to attend a string of events at the Dereka ground, DLW guest house and the army campus, almost all major schools in the town were shut owing to the ""VVIP movement"", said an informed source.",mean,24.003828048706055
target,19,"While Modi was to attend a string of events at the Dereka ground, DLW guest house and the army campus, almost all major schools in the town were shut owing to the ""VVIP movement"", said an informed source.",max,46.05614471435547
target,19,"While Modi was to attend a string of events at the Dereka ground, DLW guest house and the army campus, almost all major schools in the town were shut owing to the ""VVIP movement"", said an informed source.",last,38.19306182861328
target,20,"You have some great actors from the nation in your house, who are willing to give their advice, so why not take it,"" asked Abhishek, who likes to deal with criticism ""positively"".",mean,20.729942321777344
target,20,"You have some great actors from the nation in your house, who are willing to give their advice, so why not take it,"" asked Abhishek, who likes to deal with criticism ""positively"".",max,50.44294738769531
target,20,"You have some great actors from the nation in your house, who are willing to give their advice, so why not take it,"" asked Abhishek, who likes to deal with criticism ""positively"".",last,44.86406707763672
target,21,"P Vaidyanathan Iyer: In the last one year, the economy has been struggling to cross the 7-8 per cent growth mark.",mean,23.318073272705078
target,21,"P Vaidyanathan Iyer: In the last one year, the economy has been struggling to cross the 7-8 per cent growth mark.",max,38.841392517089844
target,21,"P Vaidyanathan Iyer: In the last one year, the economy has been struggling to cross the 7-8 per cent growth mark.",last,29.122142791748047
target,22,"""I had demanded an inquiry against Pachauri in a letter I wrote to Petroleum Minister Murli Deora some time back,"" he confirmed.",mean,21.53777503967285
target,22,"""I had demanded an inquiry against Pachauri in a letter I wrote to Petroleum Minister Murli Deora some time back,"" he confirmed.",max,47.94883728027344
target,22,"""I had demanded an inquiry against Pachauri in a letter I wrote to Petroleum Minister Murli Deora some time back,"" he confirmed.",last,26.31022071838379
target,23,"He commanded the Southern Command at Pune, whose orientation is in the desert areas, before assuming the appointment of VCOAS under Gen Singh.",mean,17.519723892211914
target,23,"He commanded the Southern Command at Pune, whose orientation is in the desert areas, before assuming the appointment of VCOAS under Gen Singh.",max,44.25389862060547
target,23,"He commanded the Southern Command at Pune, whose orientation is in the desert areas, before assuming the appointment of VCOAS under Gen Singh.",last,19.683626174926758
target,24,"Investigations have revealed that Kumar’s Mumbai-based aide would ask for call details of personalities, which the he procured and duly handed over during personal meetings at posh hotels of Delhi.",mean,20.59441375732422
