group,index,text,agg,val
target,0,Shri Parrikar was taken on a whirlwind tour of the massive complex spread across hundreds of acres of land and was briefed on the future expansion plans including the proposed naval air station and housing complex.,mean,7.212278842926025
target,0,Shri Parrikar was taken on a whirlwind tour of the massive complex spread across hundreds of acres of land and was briefed on the future expansion plans including the proposed naval air station and housing complex.,max,11.154459953308105
target,0,Shri Parrikar was taken on a whirlwind tour of the massive complex spread across hundreds of acres of land and was briefed on the future expansion plans including the proposed naval air station and housing complex.,last,8.69923210144043
target,1,"With the passage of stringent laws like Benami Act, the department needed this technological tool to make “sense” of the data that is with them.",mean,7.408924579620361
target,1,"With the passage of stringent laws like Benami Act, the department needed this technological tool to make “sense” of the data that is with them.",max,11.451395988464355
target,1,"With the passage of stringent laws like Benami Act, the department needed this technological tool to make “sense” of the data that is with them.",last,10.182843208312988
target,2,The clearance from the Home Ministry came during the second week of June and the review is likely to be started soon whereby Robert Vadra and many other VVIPs would be likely to lose the ‘no-frisking’ at the airports privilege very soon.,mean,7.274230003356934
target,2,The clearance from the Home Ministry came during the second week of June and the review is likely to be started soon whereby Robert Vadra and many other VVIPs would be likely to lose the ‘no-frisking’ at the airports privilege very soon.,max,11.794607162475586
target,2,The clearance from the Home Ministry came during the second week of June and the review is likely to be started soon whereby Robert Vadra and many other VVIPs would be likely to lose the ‘no-frisking’ at the airports privilege very soon.,last,8.925540924072266
target,3,But till date every bag made by the brand boasts of the same signature quality.,mean,6.9509806632995605
target,3,But till date every bag made by the brand boasts of the same signature quality.,max,12.759237289428711
target,3,But till date every bag made by the brand boasts of the same signature quality.,last,9.796262741088867
target,4,Congress president Sonia Gandhi had flagged off these trucks fron New Delhi on Monday.,mean,7.6508307456970215
target,4,Congress president Sonia Gandhi had flagged off these trucks fron New Delhi on Monday.,max,11.404187202453613
target,4,Congress president Sonia Gandhi had flagged off these trucks fron New Delhi on Monday.,last,8.643649101257324
target,5,CRPF personnel were also present.,mean,7.047599792480469
target,5,CRPF personnel were also present.,max,10.408659934997559
target,5,CRPF personnel were also present.,last,8.725024223327637
target,6,"Kejriwal also congratulated all the people present at the function and said, ""When we won in Delhi we thought there will be a full stop on the corruption, but despite being in government for five months we have to fight to curb it.""",mean,7.240316390991211
target,6,"Kejriwal also congratulated all the people present at the function and said, ""When we won in Delhi we thought there will be a full stop on the corruption, but despite being in government for five months we have to fight to curb it.""",max,11.612353324890137
target,6,"Kejriwal also congratulated all the people present at the function and said, ""When we won in Delhi we thought there will be a full stop on the corruption, but despite being in government for five months we have to fight to curb it.""",last,8.657270431518555
target,7,Sachin GIDC police had intimated the Income tax department officials to assist and interrogate all the four people.,mean,7.585721969604492
target,7,Sachin GIDC police had intimated the Income tax department officials to assist and interrogate all the four people.,max,11.03747844696045
target,7,Sachin GIDC police had intimated the Income tax department officials to assist and interrogate all the four people.,last,9.980077743530273
