group,index,text,agg,val
target,0,Shri Parrikar was taken on a whirlwind tour of the massive complex spread across hundreds of acres of land and was briefed on the future expansion plans including the proposed naval air station and housing complex.,mean,6.619421005249023
target,0,Shri Parrikar was taken on a whirlwind tour of the massive complex spread across hundreds of acres of land and was briefed on the future expansion plans including the proposed naval air station and housing complex.,max,10.172502517700195
target,0,Shri Parrikar was taken on a whirlwind tour of the massive complex spread across hundreds of acres of land and was briefed on the future expansion plans including the proposed naval air station and housing complex.,last,8.272568702697754
target,1,"With the passage of stringent laws like Benami Act, the department needed this technological tool to make “sense” of the data that is with them.",mean,7.014514446258545
target,1,"With the passage of stringent laws like Benami Act, the department needed this technological tool to make “sense” of the data that is with them.",max,10.563311576843262
target,1,"With the passage of stringent laws like Benami Act, the department needed this technological tool to make “sense” of the data that is with them.",last,10.14252758026123
target,2,The clearance from the Home Ministry came during the second week of June and the review is likely to be started soon whereby Robert Vadra and many other VVIPs would be likely to lose the ‘no-frisking’ at the airports privilege very soon.,mean,6.712109088897705
target,2,The clearance from the Home Ministry came during the second week of June and the review is likely to be started soon whereby Robert Vadra and many other VVIPs would be likely to lose the ‘no-frisking’ at the airports privilege very soon.,max,10.706123352050781
target,2,The clearance from the Home Ministry came during the second week of June and the review is likely to be started soon whereby Robert Vadra and many other VVIPs would be likely to lose the ‘no-frisking’ at the airports privilege very soon.,last,8.24498462677002
target,3,But till date every bag made by the brand boasts of the same signature quality.,mean,7.0092620849609375
target,3,But till date every bag made by the brand boasts of the same signature quality.,max,12.91805648803711
target,3,But till date every bag made by the brand boasts of the same signature quality.,last,10.253668785095215
target,4,Congress president Sonia Gandhi had flagged off these trucks fron New Delhi on Monday.,mean,7.152215003967285
target,4,Congress president Sonia Gandhi had flagged off these trucks fron New Delhi on Monday.,max,10.417325019836426
target,4,Congress president Sonia Gandhi had flagged off these trucks fron New Delhi on Monday.,last,8.150772094726562
target,5,CRPF personnel were also present.,mean,6.49575138092041
target,5,CRPF personnel were also present.,max,9.30495834350586
target,5,CRPF personnel were also present.,last,8.125080108642578
target,6,"Kejriwal also congratulated all the people present at the function and said, ""When we won in Delhi we thought there will be a full stop on the corruption, but despite being in government for five months we have to fight to curb it.""",mean,6.492676258087158
target,6,"Kejriwal also congratulated all the people present at the function and said, ""When we won in Delhi we thought there will be a full stop on the corruption, but despite being in government for five months we have to fight to curb it.""",max,11.296048164367676
target,6,"Kejriwal also congratulated all the people present at the function and said, ""When we won in Delhi we thought there will be a full stop on the corruption, but despite being in government for five months we have to fight to curb it.""",last,8.37373161315918
target,7,Sachin GIDC police had intimated the Income tax department officials to assist and interrogate all the four people.,mean,6.981735706329346
target,7,Sachin GIDC police had intimated the Income tax department officials to assist and interrogate all the four people.,max,9.981023788452148
target,7,Sachin GIDC police had intimated the Income tax department officials to assist and interrogate all the four people.,last,8.917062759399414
target,8,"The additional capacity will also help Intel India consolidate its R&D operations to a large extent at the SRR campus, the company said in a statement.“Karnataka has always been in the forefront when it comes to the IT industry, being the centre of investment, our Invest Karnataka initiative is proving its worth with such beneficial investments in the recent years.",mean,6.362509250640869
target,8,"The additional capacity will also help Intel India consolidate its R&D operations to a large extent at the SRR campus, the company said in a statement.“Karnataka has always been in the forefront when it comes to the IT industry, being the centre of investment, our Invest Karnataka initiative is proving its worth with such beneficial investments in the recent years.",max,10.462760925292969
target,8,"The additional capacity will also help Intel India consolidate its R&D operations to a large extent at the SRR campus, the company said in a statement.“Karnataka has always been in the forefront when it comes to the IT industry, being the centre of investment, our Invest Karnataka initiative is proving its worth with such beneficial investments in the recent years.",last,4.139388084411621
target,9,"The lead actor of the film Prabhas retweeted all the congratulatory messages which poured in, including from Anuskha Shetty, who also featured in the film.",mean,7.101100444793701
target,9,"The lead actor of the film Prabhas retweeted all the congratulatory messages which poured in, including from Anuskha Shetty, who also featured in the film.",max,11.59109115600586
target,9,"The lead actor of the film Prabhas retweeted all the congratulatory messages which poured in, including from Anuskha Shetty, who also featured in the film.",last,8.05023193359375
target,10,"Besides, the AAP's membership drive is not as vibrant as the media hype surrounding it.",mean,5.340452194213867
target,10,"Besides, the AAP's membership drive is not as vibrant as the media hype surrounding it.",max,11.543085098266602
target,10,"Besides, the AAP's membership drive is not as vibrant as the media hype surrounding it.",last,7.996987342834473
target,11,"jawans of the Indian Army and BSF in Gurez valley +

Spending time with our Forces gives me new energy.",mean,6.790083408355713
target,11,"jawans of the Indian Army and BSF in Gurez valley +

Spending time with our Forces gives me new energy.",max,10.594486236572266
target,11,"jawans of the Indian Army and BSF in Gurez valley +

Spending time with our Forces gives me new energy.",last,7.2282395362854
target,12,"According to Harish -an organiser- more than 50,000 people will join the protest, with 7000-odd people expected to join from Vijayawada alone.",mean,5.7267608642578125
target,12,"According to Harish -an organiser- more than 50,000 people will join the protest, with 7000-odd people expected to join from Vijayawada alone.",max,11.566706657409668
target,12,"According to Harish -an organiser- more than 50,000 people will join the protest, with 7000-odd people expected to join from Vijayawada alone.",last,8.443713188171387
target,13,"Here CM Amarinder Singh, offsetting past reputation of vacillation, is working over time to address the grievances of the people who have thrown out the BJP-Akali combine in the recent Assembly polls.",mean,5.732271671295166
target,13,"Here CM Amarinder Singh, offsetting past reputation of vacillation, is working over time to address the grievances of the people who have thrown out the BJP-Akali combine in the recent Assembly polls.",max,9.970955848693848
target,13,"Here CM Amarinder Singh, offsetting past reputation of vacillation, is working over time to address the grievances of the people who have thrown out the BJP-Akali combine in the recent Assembly polls.",last,7.431952476501465
target,14,Maharashtra CM Devendra Fadnavis is likely to make a statement in the assembly.,mean,7.455626010894775
target,14,Maharashtra CM Devendra Fadnavis is likely to make a statement in the assembly.,max,11.21522331237793
target,14,Maharashtra CM Devendra Fadnavis is likely to make a statement in the assembly.,last,8.09889030456543
target,15,"The National Commission for Women has decided to take suo motu cognisance of the allegations of Bollywood actress Preity Zinta against her former boyfriend and businessman Ness Wadia, and will conduct a detailed investigation into the case.",mean,6.25445032119751
target,15,"The National Commission for Women has decided to take suo motu cognisance of the allegations of Bollywood actress Preity Zinta against her former boyfriend and businessman Ness Wadia, and will conduct a detailed investigation into the case.",max,11.086755752563477
target,15,"The National Commission for Women has decided to take suo motu cognisance of the allegations of Bollywood actress Preity Zinta against her former boyfriend and businessman Ness Wadia, and will conduct a detailed investigation into the case.",last,8.649067878723145
target,16,"The film has been received well in AP, thanks to no big releases in the state.",mean,6.3483805656433105
target,16,"The film has been received well in AP, thanks to no big releases in the state.",max,9.759417533874512
target,16,"The film has been received well in AP, thanks to no big releases in the state.",last,8.993082046508789
target,17,"Also Read: Art of Living’s Yamuna event: NGT panel says rehabilitation to cost Rs42 crore

“The AOL had obtained all the necessary permission including the NGT’s.",mean,6.2082695960998535
target,17,"Also Read: Art of Living’s Yamuna event: NGT panel says rehabilitation to cost Rs42 crore

“The AOL had obtained all the necessary permission including the NGT’s.",max,10.24376106262207
target,17,"Also Read: Art of Living’s Yamuna event: NGT panel says rehabilitation to cost Rs42 crore

“The AOL had obtained all the necessary permission including the NGT’s.",last,5.259921550750732
target,18,"NEW DELHI: Accusing Pakistan of fomenting trouble in India, home minister Sushilkumar Shinde said it was helping terrorists to infiltrate into the country.",mean,7.049178600311279
target,18,"NEW DELHI: Accusing Pakistan of fomenting trouble in India, home minister Sushilkumar Shinde said it was helping terrorists to infiltrate into the country.",max,11.158343315124512
